"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","12,051"
"2","Number of persons tested positive today in Tamil Nadu","1,061"
"3","Total Number of persons tested positive till date","26,99,554"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","1,22,835/ 
5,07,88,402@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","1,22,406/ 
4,98,66,254"
"6","No. of Male / Female / Transgender tested positive today","622/439/0"
"7","No. of Male / Female / Transgender tested positive till date","15,75,520/11,23,996/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","306 (69 Govt+ 
237 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","1,286/ 
26,51,431"
"10","Total number of deaths today/ till date","12(3 Private &  
9 Govt) /36,072)"
