"S.No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","24050","","5338","","29388",""
"2","Total Active Cases","09 
(0.04%)","","00 
(0%)","","09 
(0.03%)",""
"3","Total Cured/Discharged","23870 
(99.25%)","","5278 
(98.9%)","","29148 
(99.18%)",""
"4","Total Died","171 
(0.71%)","","60 
(1.1%)","","231 
(0.78%)",""
"5","Total Positive cases admitted in COVID 
Hospital","02","","00","","02",""
"6","Total Positive cases in Home Isolation","07","","00","","07",""
"7","COVID Care Centre","00","","00","","00",""
"8","Facility Isolation","00","","00","","00",""
"9","No. of Samples Tested (Today)","105","","07","","112",""
"10","No. of Samples Positive (Today)","00","","00","","00",""
"11","No. of Samples Negative (Today)","103","","07","","110",""
"12","Repeat Positive/ Resampling (Today)","02","","00","","02",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT 
Ladakh)","a.)Total Sample collected at KBR Airport 
b.)Total Samples collected at Minamarg (Drass) 
c.)Total Sample collected at Upshi 
d.)Total sample collected at Khaltsi 
              Grand Total","","","","","51 
00 
00 
00 
51"
"14","COVID-19Total Tests done by UT of Ladakh(Cumulative)","Type of Test","Test Done Till 
(27/10/2022)","","Test Done Today 
(28/10/2022)","","Cumulative"
"","","a)RTPCR","341118","","62","","341180"
"","","b)TRUENAT","15571","","08","","15579"
"","","c)RAT","364336","","42","","364378"
"","","d)  CBNAAT","1225","","00","","1225"
"","","TOTAL","722250","","112","","722362"
