"S.No","District","Cumulative 
Sample","Today's Positive","Cumulative 
Positive","Today's 
Death","Cumulative 
Death","Today's  
Recovered/Dischar
ged","Cumulative 
Recovered/
Discharged","Active  case"
"1","AJMER","748421","98","49161","2","436","214","48011","714"
"2","ALWAR","1478415","137","83883","0","319","245","82661","903"
"3","BANSWARA","290521","77","14051","0","106","55","13093","852"
"4","BARAN","211536","21","15029","0","63","78","14690","276"
"5","BARMER","389831","11","21347","0","199","45","20855","293"
"6","BHARATPUR","455867","47","31188","0","270","0","30467","451"
"7","BHILWARA","480984","68","37879","0","161","257","37044","674"
"8","BIKANER","691245","47","49349","1","579","104","48349","421"
"9","BUNDI","216465","20","9672","0","55","48","9507","110"
"10","CHITTORGARH","436500","26","29176","0","140","29","28912","124"
"11","CHURU","399488","35","20489","0","113","92","20009","367"
"12","DAUSA","265256","19","15680","0","75","63","15460","145"
"13","DHOLPUR","265155","10","13637","0","49","62","13421","167"
"14","DUNGARPUR","320259","17","25336","0","134","105","24869","333"
"15","GANGANAGAR","400139","98","27604","0","156","311","26358","1090"
"16","HANUMANGARH","466062","31","22211","0","114","171","21873","224"
"17","JAIPUR","3115227","569","269016","2","2100","914","260851","6065"
"18","JAISALMER","236184","64","16865","0","68","76","16338","459"
"19","JALORE","429314","2","10500","1","78","12","10381","41"
"20","JHALAWAR","350956","27","17447","0","203","34","17012","232"
"21","JHUNJHUNU","462364","56","18681","0","178","115","17967","536"
"22","JODHPUR","1337490","115","139684","0","1159","239","137372","1153"
"23","KARAULI","222035","22","8707","0","83","46","8499","125"
