"S. No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","22745","","5271","","28016",""
"2","Total Active Cases","147 
(0.64%)","","03 
(0.05%)","","150 
(0.53%)",""
"3","Total Cured/ Discharged","22430 
(98.6%)","","5208                                  
(98.8%)","","(98.7%)",""
"4","Total Died","168 
(0.74%)","","60 
(1.1%)","","228 
(0.81%)",""
"5","Total Positive cases admitted in COVID 
Hospital","11","","0","","11",""
"6","Total Positive cases in Home Isolation","48","","03","","51",""
"7","COVID Care Centre","88","","00","","88",""
"8","Facility Isolation","0","","00","","00",""
"9","No. of Samples Tested (Today)","539","","105","","644",""
"10","No. of Samples Positive (Today)","13","","00","","13",""
"11","No. of Samples Negative (Today)","522","","105","","627",""
"12","Repeat Positive/ Resampling (Today)","04","","00","","04",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT Ladakh)","a.) Total Sample collected at KBR Airport 
b.) Total Samples collected at Minamarg (Drass) 
c.) Total Sample collected at Upshi 
d.) Total sample collected at Khaltsi 
              Grand Total","","","","","408 
        00 
        00 
        03 
       411"
"14","COVID-19 Total Tests done by UT of Ladakh (Cumulative)","Type of Test","Test Done Till 
(27/01/2022)","","Test Done Today 
(28/02/2022)","","Cumulative"
"","","a)  RTPCR","303337","","525","","303862"
"","","b)  TRUENAT","12285","","16","","12301"
"","","c)  RAT","346630","","101","","346731"
"","","d)  CBNAAT","820","","02","","822"
"","","TOTAL","663072","","644","","663716"
