"S. No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","18310","","3702","","22012",""
"2","Total Active Cases","151 
(0.82%)","","45 
(1.2%)","","196 
(0.89%)",""
"3","Total Cured/ Discharged","17999 
(98.3%)","","3599                                  
(97.2%)","","(98.1%)",""
"4","Total Died","160 
(0.87%)","","58 
(1.6%)","","218 
(0.99%)",""
"5","Total Positive cases admitted in COVID 
Hospital","18","","00","","18",""
"6","Total Positive cases in Home Isolation","98","","45","","143",""
"7","COVID Care Centre","18","","0","","18",""
"8","Facility Isolation","17","","0","","17",""
"9","No. of Samples Tested (Today)","499","","415","","914",""
"10","No. of Samples Positive (Today)","04","","06","","10",""
"11","No. of Samples Negative (Today)","495","","409","","904",""
"12","Repeat Positive/ Resampling (Today)","00","","00","","00",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT Ladakh)","a.) Total Sample collected at KBR Airport 
b.) Total Samples collected at Minamarg (Drass) 
c.) Total Sample collected at Upshi 
d.) Total sample collected at Khaltsi 
              Grand Total","","","","","307 
           131 
       00 
            25 
          463"
"14","COVID-19 Total Tests done by UT of Ladakh (Cumulative)","Type of Test","Test Done Till 
(21/12/2021)","","Test Done Today 
(22/12/2021)","","Cumulative"
"","","a)  RTPCR","245949","","751","","246700"
"","","b)  TRUENAT","11198","","05","","11203"
"","","c)  RAT","336997","","158","","337155"
"","","d)  CBNAAT","172","","00","","172"
"","","TOTAL","594316","","914","","595230"
