"Sr. No.","District/Municipal 
Corporation","COVID-19 cases","Recovered 
patients","Deaths","Active cases"
"11","Solapur","227064","221182","5876","6"
"12","Nashik","472864","463944","8910","10"
"13","Ahmednagar","377694","370429","7242","23"
"14","Jalgaon","149525","146764","2761","0"
"15","Nandurbar","46615","45653","962","0"
"16","Dhule","50756","50085","670","1"
"17","Aurangabad","176532","172247","4284","1"
"18","Jalna","66328","65101","1224","3"
"19","Beed","109187","106303","2883","1"
"20","Latur","104917","102428","2489","0"
"21","Parbhani","58563","57275","1279","9"
"22","Hingoli","22175","21658","514","3"
"23","Nanded","102667","99960","2704","3"
"24","Osmanabad","75159","73015","2139","5"
"25","Amravati","105946","104321","1624","1"
"26","Akola","66181","64711","1470","0"
"27","Washim","45628","44985","641","2"
"28","Buldhana","92019","91182","836","1"
"29","Yavatmal","81980","80160","1820","0"
"30","Nagpur","576406","567184","9215","7"
"31","Wardha","65673","64261","1408","4"
"32","Bhandara","67941","66799","1142","0"
"33","Gondia","45421","44834","587","0"
"34","Chandrapur","98827","97231","1592","4"
