"S.No","District","Cumulative 
Sample","Today's 
Positive","Cumulative
Positive","Today's
Death","Cumulative
Death","Today's
Recovered/ 
Discharged","Cumulative
Recovered/ 
Discharged","Active 
Case"
"1","AJMER","799047","7","50152","0","449","0","49605","98"
"2","ALWAR","1632726","8","85025","0","321","11","84635","69"
"3","BANSWARA","323222","2","14790","0","106","0","14678","6"
"4","BARAN","243276","0","15320","0","64","0","15253","3"
"5","BARMER","407004","6","21491","0","205","0","21276","10"
"6","BHARATPUR","476463","1","31457","1","274","0","31181","2"
"7","BHILWARA","510894","12","38357","0","162","0","38130","65"
"8","BIKANER","765890","23","50645","0","592","37","49909","144"
"9","BUNDI","237040","0","9715","0","55","0","9660","0"
"10","CHITTORGARH","455368","4","29475","0","140","0","29296","39"
"11","CHURU","438343","1","20962","0","115","0","20836","11"
"12","DAUSA","299244","3","15917","0","82","0","15818","17"
"13","DHOLPUR","290431","0","13967","0","49","0","13917","1"
"14","DUNGARPUR","328356","10","25530","0","134","0","25373","23"
"15","GANGANAGAR","423561","0","28190","0","158","0","28031","1"
"16","HANUMANGARH","489646","0","22546","0","115","0","22423","8"
"17","JAIPUR","3493069","67","278213","0","2114","0","275662","437"
"18","JAISALMER","243224","6","17044","0","68","0","16968","8"
"19","JALORE","450075","1","10611","0","78","0","10496","37"
"20","JHALAWAR","418895","2","17786","0","207","3","17564","15"
"21","JHUNJHUNU","494598","0","19161","0","181","0","18980","0"
"22","JODHPUR","1440086","61","142051","0","1164","50","140564","323"
"23","KARAULI","244189","0","8969","0","85","0","8884","0"
"24","KOTA","1139190","3","70144","0","477","0","69660","7"
"25","NAGAUR","653865","5","23811","0","201","0","23570","40"
"26","PALI","462743","0","35856","0","299","0","35557","0"
"27","PRATAPGARH","278583","4","11900","0","65","0","11817","18"
"28","RAJSAMAND","302689","9","23101","0","178","0","22893","30"
