"Sr.No. Description","","From 1st April 2022","Till Date"
"1","Total Samples taken","1508827","20499291"
"2","Total No. of patients tested Positive","22030","782558"
"3","No. of patients discharged","20365","760639"
"4","Total Deaths reported","165","20471"
"5","Sample collected on the day","","12130"
"6","Test conducted on the day","","11955"
"7","Positive cases on the day","","176"
"8","Number of active Cases","","1448"
"9","No. of Patients on oxygen support","","65"
"10","Patients at critical care Level-3 facilities","","18"
"11","Patients who are critical and on ventilator support","","0"
"12","Healthcare Workers vaccinated with 1st dose on the day","","0"
"13","Total Healthcare Workers vaccinated with 1st dose","","218853"
"14","Frontline Workers vaccinated with 1st dose on the day","","2"
"15","Total Frontline Workers vaccinated with 1st dose","","1117851"
"16","Healthcare Workers vaccinated with 2nd dose on the day","","8"
"17","Total Healthcare Workers vaccinated with 2nd dose","","211778"
"18","Frontline Workers vaccinated with 2nd dose on the day","","42"
"19","Total Frontline Workers vaccinated with 2nd dose","","1018601"
"20","Above 45 Vaccinated with 1st dose on the day","","280"
"21","Total Above 45 Vaccinated with 1st dose","","8343355"
"22","Above 45 Vaccinated with 2nd dose on the day","","1162"
"23","Total Above 45 Vaccinated with 2nd dose","","7633852"
"24","18-44 years age group Vaccinated with 1st dose on the day","","678"
"25","Total 18-44 years age group Vaccinated with 1st dose","","12649544"
"26","18-44 years age group Vaccinated with 2nd dose on the day","","3174"
"27","Total 18-44 years age group Vaccinated with 2nd dose","","10646423"
"28","15-17 years age group Vaccinated with 1st dose on the day","","629"
"29","Total 15-17 years age group Vaccinated with 1st dose","","1110307"
"30","15-17 years age group Vaccinated with 2nd dose on the day","","1272"
"31","Total 15-17 years age group Vaccinated with 2nddose","","847551"
"32","12-14 years age group Vaccinated with 1st dose on the day","","1361"
"33","Total 12-14 years age group Vaccinated with 1st dose","","662463"
"34","12-14 years age group Vaccinated with 2nddose on the day","","1904"
"35","Total 12-14 years age group Vaccinated with 2nd dose","","456386"
"36","Precautionary dose given on the day","","17617"
"37","Total Precautionary dose given","","1535256"
"38","Total Vaccination 1st dose on the day","","960"
"39","Total Vaccination 2nd dose on the day","","4386"
"40","Total Vaccination 1st and 2nd dose on the day","","5346"
