"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","4,865"
"2","Number of persons tested positive today in Tamil Nadu","479"
"3","Total Number of persons tested positive till date","35,76,322"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","18,907/ 
6,92,13,989@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","18,762/ 
6,79,97,845"
"6","No. of Male / Female / Transgender tested positive today","269/210/0"
"7","No. of Male / Female / Transgender tested positive till date","20,85,554/14,90,730/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","347 (78 Govt+ 
269  Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","434/ 
35,33,417"
"10","Total number of deaths today/ till date","0 (0 Private & 
0 Govt) /38,040"
