"Districts","Samples 
Sent to 
Labs 
Today","Negative","","Positive","","Cumulative 
Samples 
Tested","Results 
Awaited 
(including sample 
sent to labs today)"
"","","Negative 
in last 24 
hours","Negative 
Cumulative 
(including 
Pvt. Lab)","Positive 
in last 24 
hours","Positive 
Cumulative 
(including 
Pvt. Lab)","",""
"Almora","607","744","242895","14","12304","255199","484"
"Bageshwar","483","459","216541","10","5796","222337","705"
"Chamoli","687","605","296714","5","12270","308984","881"
"Champawat","1067","1753","271289","13","7709","278998","126"
"Dehradun","3554","2369","1937538","325","114138","2051676","1671"
"Haridwar","2587","1897","2241778","119","51978","2293756","1745"
"Nainital","1405","936","582643","233","39927","622570","1107"
"Pauri Garhwal","1172","1151","419107","21","18015","437122","363"
"Pithoragarh","806","946","237481","11","10343","247824","1197"
"Rudraprayag","370","450","203560","6","8814","212374","1005"
"Tehri Garhwal","578","431","309023","12","15880","324903","764"
"US Nagar","2318","1629","978382","35","38148","1016530","1105"
"Uttarkashi","625","382","345896","10","12590","358486","716"
"Total","16259","13752","8282847","814","347912","8630759","11869"
