"S. No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","17671","","3627","","21298",""
"2","Total Active Cases","216 
(1.22%)","","08 
(0.22%)","","224 
(1.05%)",""
"3","Total Cured/ Discharged","17301 
(97.91%)","","3561 
(98.18%)","","20862 
(97.95%)",""
"4","Total Died","154 
(0.87%)","","58 
(1.6%)","","212 
(0.99%)",""
"5","Total Positive cases admitted in COVID 
Hospital","22","","00","","22",""
"6","Total Positive cases in Home Isolation","172","","08","","180",""
"7","COVID Care Centre","05","","0","","05",""
"8","Facility Isolation","17","","0","","17",""
"9","No. of Samples Tested (Today)","588","","323","","911",""
"10","No. of Samples Positive (Today)","27","","01","","28",""
"11","No. of Samples Negative (Today)","561","","322","","883",""
"12","Repeat Positive/ Resampling (Today)","00","","00","","00",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT Ladakh)","a.) Total Sample collected at KBR Airport 
b.) Total Samples collected at Minamarg (Drass) 
c.) Total Sample collected at Upshi 
d.) Total sample collected at Khaltsi 
              Grand Total","","","","","92 
           51 
      00 
           12 
          155"
"14","COVID-19 Total Tests done by UT of Ladakh (Cumulative)","Type of Test","Test Done Till 
(18/11/2021)","","Test Done Today 
(19/11/2021)","","Cumulative"
"","","a)  RTPCR","221575","","780","","222355"
"","","b)  TRUENAT","11028","","02","","11030"
"","","c)  RAT","329930","","129","",""
"","","d)  CBNAAT","147","","0","","147"
"","","TOTAL","562680","","911","","563591"
