,Unnamed: 0,44,Unnamed: 1,महाराजगजं,Unnamed: 2,1,Unnamed: 3,0,Unnamed: 4,14724,Unnamed: 5,0.1,Unnamed: 6,146,Unnamed: 7,1.1,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
0,,45,,महोबा,,0.0,,0.0,,4471.0,,0.0,,89.0,,1.0,,,,,
1,,46,,मर्रुा,,0.0,,0.0,,25590.0,,0.0,,406.0,,1.0,,,,,
2,,47,,लमर्ाुपरु,,0.0,,0.0,,11955.0,,0.0,,126.0,,1.0,,,,,
3,,48,,मजुफ्फरनगर,,0.0,,0.0,,38329.0,,0.0,,277.0,,1.0,,,,,
4,,49,,पीलीभीत,,1.0,,0.0,,12728.0,,0.0,,205.0,,1.0,,,,,
5,,50,,रामपरु,,0.0,,0.0,,14608.0,,0.0,,153.0,,1.0,,,,,
6,,51,,सभंल,,0.0,,0.0,,11024.0,,0.0,,109.0,,1.0,,,,,
7,,52,,सोनभद्र,,1.0,,0.0,,18657.0,,0.0,,257.0,,1.0,,,,,
8,,53,,अयोध्या,,0.0,,0.0,,18680.0,,0.0,,293.0,,0.0,,,,,
9,,54,,आजमगढ़,,0.0,,0.0,,19440.0,,0.0,,235.0,,0.0,,,,,
10,,55,,बदाय,,0.0,,0.0,,17913.0,,0.0,,101.0,,0.0,,,,,
11,,56,,बादा,,0.0,,0.0,,12059.0,,0.0,,166.0,,0.0,,,,,
12,,57,,बरेली,,0.0,,0.0,,50099.0,,0.0,,377.0,,0.0,,,,,
13,,58,,बस्ती,,0.0,,0.0,,12801.0,,0.0,,337.0,,0.0,,,,,
14,,59,,बहराइच,,0.0,,1.0,,13414.0,,0.0,,178.0,,0.0,,,,,
15,,60,,बबजनौर,,0.0,,0.0,,18289.0,,0.0,,139.0,,0.0,,,,,
16,,61,,देवररया,,0.0,,0.0,,22404.0,,0.0,,230.0,,0.0,,,,,
17,,62,,एटा,,0.0,,0.0,,12105.0,,0.0,,100.0,,0.0,,,,,
18,,63,,क्रिरोजाबाद,,0.0,,0.0,,10565.0,,0.0,,136.0,,0.0,,,,,
19,,64,,गाजीपरु,,0.0,,0.0,,23878.0,,0.0,,295.0,,0.0,,,,,
20,,65,,गोंडा,,0.0,,0.0,,14139.0,,0.0,,285.0,,0.0,,,,,
21,,66,,कानपरु देहात,,0.0,,0.0,,7126.0,,0.0,,111.0,,0.0,,,,,
22,,67,,कासगजं,,0.0,,0.0,,4885.0,,0.0,,55.0,,0.0,,,,,
23,,68,,कौशाम्बी,,0.0,,1.0,,4879.0,,0.0,,72.0,,0.0,,,,,
24,,69,,मनैपरुी,,0.0,,0.0,,11484.0,,0.0,,189.0,,0.0,,,,,
25,,70,,मऊ,,0.0,,0.0,,8938.0,,0.0,,86.0,,0.0,,,,,
26,,71,,प्रतापगढ़,,0.0,,0.0,,16747.0,,0.0,,163.0,,0.0,,,,,
27,,72,,सतं कबीर नगर,,0.0,,0.0,,8854.0,,0.0,,101.0,,0.0,,,,,
28,,73,,शाहजहांपरु,,0.0,,0.0,,24403.0,,0.0,,447.0,,0.0,,,,,
29,,74,,शामली,,0.0,,0.0,,16696.0,,0.0,,48.0,,0.0,,,,,
30,,75,,श्रावस्ती,,0.0,,0.0,,5235.0,,0.0,,42.0,,0.0,,,,,
31,,Total,,,,,,,135.0,,31.0,,2047511.0,,1.0,,23500.0,,610.0,,
32,,कोविड धनात्मक रोवियो ने कुल मृतु्य - 23500 इन रोवियो म मृतु्य का सही कारण मृतु्य ऑवडट के उपरात वनधाररत होिा),,,,,,,,,,,,,,,,,,,
