"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","5,630"
"2","Number of persons tested positive today in Tamil Nadu","545"
"","Passengers returned from other countries  by 
International airport tested positive today","Singapore-1"
"","Passengers returned from other states  by Domestic 
airport tested positive today","West Bengal-1"
"","Total","547"
"3","Total Number of persons tested positive till date","35,65,020"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","23,428/ 
6,87,51,400@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","23,212/ 
6,75,39,277"
"6","No. of Male / Female / Transgender tested positive today","326/221/0"
"7","No. of Male / Female / Transgender tested positive till date","20,78,955/14,86,027/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","347 (78 Govt+ 
269  Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","649/ 
35,21,357"
"10","Total number of deaths today/ till date","0 (0 Private & 
0 Govt) /38,033"
