"S.
No.","District","Total Confirmed Cases","","Total Cured","","Total Deaths","","Total Active
Cases"
"","","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date",""
"1","Ludhiana","172","109949","163","107652","1","2280","17"
"2","SAS Nagar","351","96040","317","94850","1","1149","41"
"3","Jalandhar","122","78393","101","76801","0","1578","14"
"4","Patiala","212","62243","209","60781","0","1457","5"
"5","Amritsar","80","59477","73","57781","0","1682","14"
"6","Bathinda","49","50918","46","49824","0","1088","6"
"7","Hoshiarpur","52","40892","60","39792","0","1096","4"
"8","Gurdaspur","20","26959","19","26092","1","865","2"
"9","Pathankot","44","24577","45","24078","0","495","4"
"10","Fazilka","26","23424","36","22875","0","545","4"
"11","Muktsar","7","22561","11","22021","0","539","1"
"12","Kapurthala","34","22069","31","21483","1","583","3"
"13","Ropar","29","17967","28","17511","0","455","1"
"14","Ferozepur","17","17916","18","17378","0","537","1"
"15","Mansa","6","17234","3","16839","1","393","2"
"16","Faridkot","25","16808","28","16469","0","338","1"
"17","Sangrur","0","14309","1","13574","0","735","0"
"18","SBS Nagar","20","13422","25","13013","0","409","0"
"19","FG Sahib","10","11844","8","11488","0","354","2"
"20","Moga","5","10993","7","10738","1","255","0"
"21","Tarn Taran","4","10902","3","10508","0","394","0"
"22","Barnala","7","7504","12","7155","0","349","0"
"23","Malerkotla","1","3969","0","3791","0","176","2"
"","Total","1293","760370","1244","742494","6","17752","124"
