"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","474"
"2","Number of persons tested positive today in Tamil Nadu","62"
"","Passengers returned from other states  by Domestic 
airport tested positive today","Karnataka-1 & 
Telangana-1"
"","Total","64"
"3","Total Number of persons tested positive till date","34,54,217"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","17,701/ 
6,62,66,354@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","17,682/ 
6,50,89,442"
"6","No. of Male / Female / Transgender tested positive today","26/38/0"
"7","No. of Male / Female / Transgender tested positive till date","20,15,905/14,38,274/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","336 (69 Govt+ 
267Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","56/ 
34,15,718"
"10","Total number of deaths today/ till date","0(0 Private &  
0 Govt) /38,025"
