"S. No","Subject","Number"
"1","Total Number of people vaccinated on 3rd Feb","2,70,125"
"2","First Dose on 3rd Feb","29,621"
"3","Second Dose on 3rd Feb","2,04,760"
"4","Precaution Dose on 3rd Feb","35,744"
"5","Cumulative Vaccination till 3rd Feb","12,15,23,721"
"6","Cumulative Vaccination First Dose","6,91,20,134"
"7","Cumulative Vaccination Second Dose","5,13,86,784"
"8","Cumulative Precaution Dose","10,16,803"
"9","Number of CVC (Common Vaccination Centres)","4,040"
"10","Cumulative AEFI cases reported","6,777"
"11","Vaccine wastage","-7%"
