"Sr.No. Description","","From 1st April 2022","Till Date"
"1","Total Samples taken","1030170","20019048"
"2","Total No. of patients tested Positive","6258","765273"
"3","No. of patients discharged","4977","746227"
"4","Total Deaths reported","40","17786"
"5","Sample collected on the day","","12195"
"6","Test conducted on the day","","11674"
"7","Positive cases on the day","","261"
"8","Number of active Cases","","1260"
"9","No. of Patients on oxygen support","","44"
"10","Patients at critical care Level-3 facilities","","6"
"11","Patients who are critical and on ventilator support","","2"
"12","Healthcare Workers vaccinated with 1st dose on the day","","3"
"13","Total Healthcare Workers vaccinated with 1st dose","","218748"
"14","Frontline Workers vaccinated with 1st dose on the day","","6"
"15","Total Frontline Workers vaccinated with 1st dose","","1117593"
"16","Healthcare Workers vaccinated with 2nd dose on the day","","15"
"17","Total Healthcare Workers vaccinated with 2nd dose","","211095"
"18","Frontline Workers vaccinated with 2nd dose on the day","","81"
"19","Total Frontline Workers vaccinated with 2nd dose","","1015942"
"20","Above 45 Vaccinated with 1st dose on the day","","290"
"21","Total Above 45 Vaccinated with 1st dose","","8331047"
"22","Above 45 Vaccinated with 2nd dose on the day","","3684"
"23","Total Above 45 Vaccinated with 2nd dose","","7531801"
"24","18-44 years age group Vaccinated with 1st dose on the day","","1231"
"25","Total 18-44 years age group Vaccinated with 1st dose","","12606879"
"26","18-44 years age group Vaccinated with 2nd dose on the day","","8266"
"27","Total 18-44 years age group Vaccinated with 2nd dose","","10410598"
"28","15-17 years age group Vaccinated with 1st dose on the day","","354"
"29","Total 15-17 years age group Vaccinated with 1st dose","","1093856"
"30","15-17 years age group Vaccinated with 2nd dose on the day","","1521"
"31","Total 15-17 years age group Vaccinated with 2nddose","","797131"
"32","12-14 years age group Vaccinated with 1st dose on the day","","1362"
"33","Total 12-14 years age group Vaccinated with 1st dose","","613017"
"34","12-14 years age group Vaccinated with 2nddose on the day","","2710"
"35","Total 12-14 years age group Vaccinated with 2nd dose","","380350"
"36","Precautionary dose given on the day","","2794"
"37","Total Precautionary dose given","","779375"
"38","Total Vaccination 1st dose on the day","","1530"
"39","Total Vaccination 2nd dose on the day","","12046"
"40","Total Vaccination 1st and 2nd dose on the day","","13576"
