"1","2","3","4","5","6 = 3-4-5","7"
"S. No","District","Total Cases","Total Discharged","Total Deaths","Total Active 
Cases","Last Reported 
Case"
"1","Alipurduar","15,289+7","15,082+10","100+1","107-4","9-Sep-21"
"2","Coochbehar","28,613+13","28,270+24","95","248-11","9-Sep-21"
"3","Darjeeling","55,542+41","54,460+53","521+1","561-13","9-Sep-21"
"4","Kalimpong","6,790+8","6,622+11","52","116-3","9-Sep-21"
"5","Jalpaiguri","41,026+20","40,173+29","555","298-9","9-Sep-21"
"6","Uttar Dinajpur","19,658+1","19,362+6","235","61-5","9-Sep-21"
"7","Dakshin Dinajpur","17,230+16","16,944+10","169","117+6","9-Sep-21"
"8","Malda","32,950+25","32,633+11","186","131+14","9-Sep-21"
"9","Murshidabad","33,762+3","33,388+5","325","49-2","9-Sep-21"
"10","Nadia","70,963+58","69,638+51","772","553+7","9-Sep-21"
"11","Birbhum","40,618+6","40,244+8","285","89-2","9-Sep-21"
"12","Purulia","19,309+2","19,155+4","113","41-2","9-Sep-21"
"13","Bankura","35,381+22","34,839+26","266","276-4","9-Sep-21"
"14","Jhargram","11,815+6","11,626+16","27","162-10","9-Sep-21"
"15","Paschim Medinipur","52,139+31","51,217+40","501","421-9","9-Sep-21"
"16","Purba Medinipur","61,989+39","61,159+42","385","445-3","9-Sep-21"
"17","Purba Bardhaman","40,822+23","40,364+25","191+1","267-3","9-Sep-21"
"18","Paschim Bardhaman","56,858+13","56,317+18","352+1","189-6","9-Sep-21"
"19","Howrah","96,011+52","94,026+44","1,499","486+8","9-Sep-21"
"20","Hooghly","83,426+57","81,934+50","949+2","543+5","9-Sep-21"
"21","North 24 Parganas","3,22,934+129","3,17,077+110","4,658+3","1,199+16","9-Sep-21"
"22","South 24 Parganas","98,166+54","96,262+57","1,292","612-3","9-Sep-21"
"23","Kolkata","3,14,048+127","3,07,778+116","5,022+5","1,248+6","9-Sep-21"
"24","Other State","66","63","3","0","6-Jun-20"
"TOTAL","","15,55,405+753","15,28,633+766","18,553+14","8,219-27",""
