"1","Total Samples taken","15895221"
"2","Sample collected on the day","26362"
"3","Test conducted on the day","26024"
"4","Total No. of patients tested Positive","602906"
"5","No. of patients discharged","586021"
"6","Number of active Cases","308"
"7","Total Deaths reported","16577"
"8","No. of Patients on oxygen support","32"
"9","Patients at critical care Level-3 facilities","12"
"10","Patients who are critical and on ventilator support","1"
"11","Healthcare Workers vaccinated with 1st dose on the day","1"
"12","Total Healthcare Workers vaccinated with 1st dose","216635"
"13","Frontline Workers vaccinated with 1st dose on the day","16"
"14","Total Frontline Workers vaccinated with 1st dose","1152678"
"15","Healthcare Workers vaccinated with 2nd dose on the day","173"
"16","Total Healthcare Workers vaccinated with 2nd dose","138066"
"17","Frontline Workers vaccinated with 2nd dose on the day","1049"
"18","Total Frontline Workers vaccinated with 2nd dose","335186"
"19","COVID-19 Vaccinated with 1st dose on the day 
(Healthcare + Frontline Workers)","17"
"20","COVID-19 Vaccinated with 2nd dose on the day 
(Healthcare + Frontline Workers)","1222"
"21","Total COVID-19 Vaccinated with 1st dose 
(Healthcare + Frontline Workers)","1369313"
"22","Total COVID-19 Vaccinated with 2nd dose 
(Healthcare + Frontline Workers)","473252"
"23","Above 45 Vaccinated with 1st dose on the day","8292"
"24","Total Above 45 Vaccinated with 1st dose","6242734"
"25","Above 45 Vaccinated with 2nd dose on the day","20073"
"26","Total Above 45 Vaccinated with 2nd dose","3180050"
"27","18-44 years age group Vaccinated with 1st dose on the day","19389"
"28","Total 18-44 years age group Vaccinated with 1st dose","8554610"
"29","18-44 years age group Vaccinated with 2nd dose on the day","40293"
"30","Total 18-44 years age group Vaccinated with 2nd dose","3346917"
"31","Total Vaccination 1st dose on the day","27698"
"32","Total Vaccination 2nd  dose on the day","61588"
"33","Total Vaccination 1st  and 2nd dose on the day","89286"
