"S. No","Subject","Number"
"1","Total Number of people vaccinated on 31st Jan","74,691"
"2","First Dose on 31st Jan","5,063"
"3","Second Dose on 31st Jan","64,994"
"4","Precaution Dose on 31st Jan","4,634"
"5","Cumulative Vaccination till 31st Jan","12,01,12,751"
"6","Cumulative Vaccination First Dose","6,89,73,339"
"7","Cumulative Vaccination Second Dose","5,02,77,366"
"8","Cumulative Precaution Dose","8,62,046"
"9","Number of CVC (Common Vaccination Centres)","1,254"
"10","Cumulative AEFI cases reported","6,754"
"11","Vaccine wastage","-7%"
