"S.No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","23979","","5338","","29317",""
"2","Total Active Cases","20 
(0.08%)","","01 
(0.02%)","","21 
(0.07%)",""
"3","Total Cured/Discharged","23789 
(99.21%)","","5277 
(98.85%)","","29066 
(99.14%)",""
"4","Total Died","170 
(0.71%)","","60 
(1.1%)","","230 
(0.78%)",""
"5","Total Positive cases admitted in COVID 
Hospital","05","","00","","05",""
"6","Total Positive cases in Home Isolation","14","","01","","15",""
"7","COVID Care Centre","00","","00","","00",""
"8","Facility Isolation","01","","00","","01",""
"9","No. of Samples Tested (Today)","88","","34","","122",""
"10","No. of Samples Positive (Today)","03","","00","","03",""
"11","No. of Samples Negative (Today)","84","","34","","118",""
"12","Repeat Positive/ Resampling (Today)","01","","00","","01",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT 
Ladakh)","a.)Total Sample collected at KBR Airport 
b.)Total Samples collected at Minamarg (Drass) 
c.)Total Sample collected at Upshi 
d.)Total sample collected at Khaltsi 
              Grand Total","","","","","44 
65 
00 
00 
109"
"14","COVID-19Total Tests done by UT of Ladakh(Cumulative)","Type of Test","Test Done Till 
(20/09/2022)","","Test Done Today 
(21/09/2022)","","Cumulative"
"","","a)RTPCR","38774","","67","","38841"
"","","b)TRUENAT","15186","","09","","15195"
"","","c)RAT","363220","","46","","363266"
"","","d)  CBNAAT","1225","","00","","1225"
"","","TOTAL","718405","","122","","718527"
