"S.No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","23105","","5284","","28389",""
"2","Total Active Cases","66 
(0.28%)","","01 
(0.02%)","","67 
(0.23%)",""
"3","Total Cured/Discharged","22871 
(98.9%)","","5223 
(98.8%)","","28094 
(98.9%)",""
"4","Total Died","168 
(0.73%)","","60 
(1.1%)","","228 
(0.80%)",""
"5","Total Positive cases admitted in COVID 
Hospital","07","","00","","07",""
"6","Total Positive cases in Home Isolation","56","","01","","57",""
"7","COVID Care Centre","00","","00","","00",""
"8","Facility Isolation","03","","00","","03",""
"9","No. of Samples Tested (Today)","362","","46","","408",""
"10","No. of Samples Positive (Today)","13","","00","","13",""
"11","No. of Samples Negative (Today)","349","","46","","395",""
"12","Repeat Positive/ Resampling (Today)","00","","00","","00",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT 
Ladakh)","a.)Total Sample collected at KBR Airport 
b.)Total Samples collected at Minamarg (Drass) 
c.)Total Sample collected at Upshi 
d.)Total sample collected at Khaltsi 
              Grand Total","","","","","58 
46 
25 
00 
129"
"14","COVID-19TotalTestsdonebyUTofLadakh(Cumulative)","Type of Test","Test Done Till 
(27/06/2022)","","Test Done Today 
(28/06/2022)","","Cumulative"
"","","a)RTPCR","326604","","304","","326908"
"","","b)TRUENAT","14337","","12","","14349"
"","","c)RAT","350465","","92","","350557"
"","","d)  CBNAAT","1105","","00","","1105"
"","","TOTAL","692511","","408","","692919"
