"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","3,951"
"2","Number of persons tested positive today in Tamil Nadu","683"
"","Passengers returned from other countries  by 
International airport tested positive today","USA-1 
UAE-2"
"","Total","686"
"3","Total Number of persons tested positive till date","34,61,560"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","17,208/ 
6,69,07,232@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","17,122/ 
6,57,29,032"
"6","No. of Male / Female / Transgender tested positive today","347/339/0"
"7","No. of Male / Female / Transgender tested positive till date","20,19,869/14,41,653/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","339 (70 Govt+ 
269 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","257/ 
34,19,583"
"10","Total number of deaths today/ till date","0(0 Private &  
0 Govt) /38,026"
