"Sr.No. Description","","From 1st April 2022","Till Date"
"1","Total Samples taken","1821123","20811587"
"2","Total No. of patients tested Positive","24253","784781"
"3","No. of patients discharged","23836","764110"
"4","Total Deaths reported","203","20508"
"5","Sample collected on the day","","6188"
"6","Test conducted on the day","","6243"
"7","Positive cases on the day","","29"
"8","Number of active Cases","","163"
"9","No. of Patients on oxygen support","","4"
"10","Patients at critical care Level-3 facilities","","0"
"11","Patients who are critical and on ventilator support","","1"
"12","Healthcare Workers vaccinated with 1st dose on the day","","0"
"13","Total Healthcare Workers vaccinated with 1st dose","","218885"
"14","Frontline Workers vaccinated with 1st dose on the day","","0"
"15","Total Frontline Workers vaccinated with 1st dose","","1117942"
"16","Healthcare Workers vaccinated with 2nd dose on the day","","0"
"17","Total Healthcare Workers vaccinated with 2nd dose","","211965"
"18","Frontline Workers vaccinated with 2nd dose on the day","","0"
"19","Total Frontline Workers vaccinated with 2nd dose","","1019276"
"20","Above 45 Vaccinated with 1st dose on the day","","9"
"21","Total Above 45 Vaccinated with 1st dose","","8346681"
"22","Above 45 Vaccinated with 2nd dose on the day","","13"
"23","Total Above 45 Vaccinated with 2nd dose","","7651755"
"24","18-44 years age group Vaccinated with 1st dose on the day","","24"
"25","Total 18-44 years age group Vaccinated with 1st dose","","12661488"
"26","18-44 years age group Vaccinated with 2nd dose on the day","","56"
"27","Total 18-44 years age group Vaccinated with 2nd dose","","10696791"
"28","15-17 years age group Vaccinated with 1st dose on the day","","10"
"29","Total 15-17 years age group Vaccinated with 1st dose","","1114588"
"30","15-17 years age group Vaccinated with 2nd dose on the day","","59"
"31","Total 15-17 years age group Vaccinated with 2nddose","","862186"
"32","12-14 years age group Vaccinated with 1st dose on the day","","9"
"33","Total 12-14 years age group Vaccinated with 1st dose","","677771"
"34","12-14 years age group Vaccinated with 2nddose on the day","","78"
"35","Total 12-14 years age group Vaccinated with 2nd dose","","484981"
"36","Precautionary dose given on the day","","265"
"37","Total Precautionary dose given","","1776883"
"38","Total Vaccination 1st dose on the day","","33"
"39","Total Vaccination 2nd dose on the day","","69"
"40","Total Vaccination 1st and 2nd dose on the day","","102"
