"S.No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","23908","","5337","","29245",""
"2","Total Active Cases","42 
(0.17%)","","03 
(0.06%)","","45 
(0.15%)",""
"3","Total Cured/Discharged","23696 
(99.1%)","","5274 
(98.8%)","","28970 
(99.1%)",""
"4","Total Died","170 
(0.71%)","","60 
(1.1%)","","230 
(0.79%)",""
"5","Total Positive cases admitted in COVID 
Hospital","10","","0","","10",""
"6","Total Positive cases in Home Isolation","22","","03","","25",""
"7","COVID Care Centre","00","","00","","00",""
"8","Facility Isolation","10","","00","","10",""
"9","No. of Samples Tested (Today)","58","","30","","88",""
"10","No. of Samples Positive (Today)","04","","00","","04",""
"11","No. of Samples Negative (Today)","54","","30","","84",""
"12","Repeat Positive/ Resampling (Today)","00","","00","","00",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT 
Ladakh)","a.)Total Sample collected at KBR Airport 
b.)Total Samples collected at Minamarg (Drass) 
c.)Total Sample collected at Upshi 
d.)Total sample collected at Khaltsi 
              Grand Total","","","","","42 
50 
00 
00 
92"
"14","COVID-19Total Tests done by UT of Ladakh(Cumulative)","Type of Test","Test Done Till 
(03/09/2022)","","Test Done Today 
(04/09/2022)","","Cumulative"
"","","a)RTPCR","37054","","63","","37117"
"","","b)TRUENAT","14991","","04","","14995"
"","","c)RAT","362553","","21","","362574"
"","","d)  CBNAAT","1225","","00","","1225"
"","","TOTAL","715823","","88","","715911"
