"S.No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","23786","","5327","","29113",""
"2","Total Active Cases","65 
(0.27%)","","05 
(0.09%)","","70 
(0.24%)",""
"3","Total Cured/Discharged","23552 
(99%)","","5262 
(98.76%)","","28814 
(98.9%)",""
"4","Total Died","169 
(0.71%)","","60 
(1.1%)","","229 
(0.79%)",""
"5","Total Positive cases admitted in COVID 
Hospital","09","","00","","09",""
"6","Total Positive cases in Home Isolation","54","","05","","59",""
"7","COVID Care Centre","00","","00","","00",""
"8","Facility Isolation","02","","00","","02",""
"9","No. of Samples Tested (Today)","215","","44","","259",""
"10","No. of Samples Positive (Today)","08","","02","","10",""
"11","No. of Samples Negative (Today)","207","","42","","249",""
"12","Repeat Positive/ Resampling (Today)","00","","00","","00",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT 
Ladakh)","a.)Total Sample collected at KBR Airport 
b.)Total Samples collected at Minamarg (Drass) 
c.)Total Sample collected at Upshi 
d.)Total sample collected at Khaltsi 
              Grand Total","","","","","51 
45 
00 
00 
96"
"14","COVID-19Total Tests done by UT of Ladakh(Cumulative)","Type of Test","Test Done Till 
(16/08/2022)","","Test Done Today 
(17/08/2022)","","Cumulative"
"","","a)RTPCR","34773","","45","","34818"
"","","b)TRUENAT","14798","","08","","14806"
"","","c)RAT","358235","","206","","358441"
"","","d)  CBNAAT","1200","","00","","1200"
"","","TOTAL","709006","","259","","709265"
