"","","","","","","","","","",""
"","","","","","","","","","",""
"","Districtwise Abstract of COVID-19","","","","","","","","",""
"","Sl. 
No","District Name","Today’s 
Positives","Total 
Positives","Today’s 
Discharges","Total 
Discharges","Total 
Active 
Cases","Today’s 
Reported 
Covid 
Deaths","Total 
Covid 
Deaths","Death 
due to 
 Non-
Covid 
reasons 
#"
"","1","Bagalakote","2","40759","6","40365","26","0","368","0"
"","2","Ballari","10","115800","6","113914","119","0","1765","2"
"","3","Belagavi","18","100417","9","99264","147","0","1004","2"
"","4","Bengaluru Rural","1","79527","14","78501","119","0","907","0"
"","5","Bengaluru urban","813","1828108","999","1803587","7547","1","16973","1"
"","6","Bidar","5","29889","2","29437","28","0","420","4"
"","7","Chamarajanagara","5","43661","6","43097","29","0","524","11"
"","8","Chikkaballapura","0","55673","0","55183","28","0","461","1"
"","9","Chikkamagaluru","0","57328","8","56909","12","0","407","0"
"","10","Chitradurga","1","46409","1","46163","7","0","239","0"
"","11","Dakshina 
Kannada","9","136145","13","134207","86","0","1842","10"
"","12","Davanagere","0","57591","1","56951","17","0","623","0"
"","13","Dharwada","2","84524","28","83038","93","0","1386","7"
"","14","Gadag","0","30603","0","30258","8","0","337","0"
"","15","Hassana","1","144018","8","142661","48","0","1307","2"
"","16","Haveri","1","26878","0","26196","13","0","669","0"
"","17","Kalaburagi","18","76760","10","75800","78","0","882","0"
"","18","Kodagu","7","49313","0","48913","47","0","352","1"
"","19","Kolara","4","63219","12","62529","25","0","665","0"
"","20","Koppala","0","41309","2","40760","11","0","538","0"
"","21  Mandya","","13","101587","13","100833","43","0","711","0"
"","22  Mysuru","","18","230182","22","227469","153","0","2560","0"
"","23","Raichuru","3","45491","3","45111","15","0","365","0"
"","24","Ramanagara","0","29857","1","29506","4","0","347","0"
"","25","Shivamogga","1","83449","2","82285","34","0","1129","1"
"","26","Tumakuru","1","160017","9","158743","56","0","1218","0"
"","27","Udupi","2","95834","11","95242","46","0","546","0"
"","28","Uttara Kannada","3","71320","14","70472","38","0","810","0"
"","29","Vijayapura","0","41040","4","40503","16","0","521","0"
"","30","Yadagiri","1","29973","0","29758","3","0","212","0"
"","31","Others*","0","36","0","33","0","0","3","0"
"","Total","","939","3996717","1204","3947688","8896","1","40091","42"
"*
  
Others include Cases of other States and International Quarantined Passengers. 
#Cumulative total of Non COVID deaths reported till today.  
 
Date: 25-07-2022 
Page 5 of 9","","","","","","","","","",""
