"D
       
   
   
         
GOVERNMENT OF KARNATAKA 
 
DEPARTMENT OF HEALTH & FAMILY WELFARE 
 
COVID-19 
 
MEDIA BULLETIN 
ATE: 06-02-2022","","","","","","","",""
"","","","","","","","",""
"","T
he first case of Corona Virus infection, which has caused a pandemic resulting in catastrophic 
health 
implications  and  human  miseries 
throughout 
the  globe,  was  detected 
in 
state  on 
08.03.2020. It was a case of international traveler returning to Bengaluru Urban. 
A robust surveillance system with elaborate contingency plan is in place for limiting the spread of 
the disease.  
In  the  fight  against  COVID-19  pandemic  an  effective  intervention  in  the  form  of  COVID 
vaccination  has  been  implemented  in  Karnataka  since  January  16th  2021  as  per  Government  of 
India operational guidelines. 
The state is addressing the ongoing challenge of COVID 19 through the 5 pillars of Management 
i.e., “Test- Track- Treat- Vaccinate and Adherence to COVID Appropriate Behaviour”.","","","","","","",""
"","","","","","","","",""
"","","1","Today’s Discharges","","19800","","",""
"","","2","Total Discharges","","3758997","","",""
"","","3","New Cases Reported (05.02.2022, 00:00 to 23:59)","","8425","","",""
"","","4","Total Active Cases","","97781","","",""
"","","5","New Covid Deaths","","47","","",""
"","","6","Total Covid Deaths","","39347","","",""
"","","7","Total Positive Cases","","3896158","","",""
"","","8","Positivity rate for the day (05.02.2022, 00:00 to 23:59)","","6.51%","","",""
"","","9","Case fatality rate (CFR) for the day (05.02.2022, 00:00 to 23:59)","","0.55%","","",""
"","","","","","","","",""
"","Particulars","","","Today’s","","Cumulative","",""
"","A 
Total Passengers screened at Air ports","","","1406**","","659725","",""
"","High risk country* passengers arrived from 01-11- 2021 
B 
to till date","","","318","","34750","",""
"*As specified from GOI  
**Date 05-02-2022. 
 
 
Date: 06-02-2022 
 Page 1 of 44","","","","","","","",""
