"S.
No.","District","Total Confirmed Cases","","Total Cured","","Total Deaths","","Total Active
Cases"
"","","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date",""
"1","Ludhiana","161","109938","154","107643","1","2280","15"
"2","SAS Nagar","318","96009","287","94820","1","1149","40"
"3","Jalandhar","112","78383","91","76791","0","1578","14"
"4","Patiala","208","62239","207","60779","0","1457","3"
"5","Amritsar","72","59469","69","57777","0","1682","10"
"6","Bathinda","45","50914","41","49819","0","1088","7"
"7","Hoshiarpur","52","40892","60","39792","0","1096","4"
"8","Gurdaspur","18","26957","18","26091","1","865","1"
"9","Pathankot","41","24574","42","24075","0","495","4"
"10","Fazilka","22","23420","32","22871","0","545","4"
"11","Muktsar","6","22560","11","22021","0","539","0"
"12","Kapurthala","31","22066","31","21483","1","583","0"
"13","Ropar","28","17966","25","17508","0","455","3"
"14","Ferozepur","17","17916","16","17376","0","537","3"
"15","Mansa","6","17234","3","16839","1","393","2"
"16","Faridkot","24","16807","27","16468","0","338","1"
"17","Sangrur","0","14309","1","13574","0","735","0"
"18","SBS Nagar","20","13422","25","13013","0","409","0"
"19","FG Sahib","8","11842","8","11488","0","354","0"
"20","Moga","5","10993","5","10736","1","255","2"
"21","Tarn Taran","4","10902","3","10508","0","394","0"
"22","Barnala","7","7504","12","7155","0","349","0"
"23","Malerkotla","1","3969","0","3791","0","176","2"
"","Total","1206","760285","1168","742418","6","17752","115"
