"Sr.No. Description","","From 1st April 2022","Till Date"
"1","Total Samples taken","559071",19547940
"2","Total No. of patients tested Positive","1206","760285"
"3","No. of patients discharged","1168","742418"
"4","Total Deaths reported","6","17752"
"5","Sample collected on the day","","11374"
"6","Test conducted on the day","","11257"
"7","Positive cases on the day","","25"
"8","Number of active Cases","","115"
"9","No. of Patients on oxygen support","","0"
"10","Patients at critical care Level-3 facilities","","0"
"11","Patients who are critical and on ventilator support","","0"
"12","Healthcare Workers vaccinated with 1st dose on the day","","4"
"13","Total Healthcare Workers vaccinated with 1st dose","","218614"
"14","Frontline Workers vaccinated with 1st dose on the day","","25"
"15","Total Frontline Workers vaccinated with 1st dose","","1117250"
"16","Healthcare Workers vaccinated with 2nd dose on the day","","30"
"17","Total Healthcare Workers vaccinated with 2nd dose","","210041"
"18","Frontline Workers vaccinated with 2nd dose on the day","","86"
"19","Total Frontline Workers vaccinated with 2nd dose","","1012172"
"20","Above 45 Vaccinated with 1st dose on the day","","661"
"21","Total Above 45 Vaccinated with 1st dose","","8312802"
"22","Above 45 Vaccinated with 2nd dose on the day","","9637"
"23","Total Above 45 Vaccinated with 2nd dose","","7246264"
"24","18-44 years age group Vaccinated with 1st dose on the day","","2788"
"25","Total 18-44 years age group Vaccinated with 1st dose","","12552169"
"26","18-44 years age group Vaccinated with 2nd dose on the day","","20030"
"27","Total 18-44 years age group Vaccinated with 2nd dose","","9827683"
"28","15-17 years age group Vaccinated with 1st dose on the day","","1596"
"29","Total 15-17 years age group Vaccinated with 1st dose","","1072018"
"30","15-17 years age group Vaccinated with 2nd dose on the day","","3832"
"31","Total 15-17 years age group Vaccinated with 2nd dose","","701261"
"32","12-14 years age group Vaccinated with 1st dose on the day","","4224"
"33","Total 12-14 years age group Vaccinated with 1st dose","","567024"
"34","12-14 years age group Vaccinated with 2nd dose on the day","","6867"
"35","Total 12-14 years age group Vaccinated with 2nd dose","","257705"
"36","Precautionary dose given on the day","","4525"
"37","Total Precautionary dose given","","631542"
"38","Total Vaccination 1st dose on the day","","3478"
"39","Total Vaccination 2nd dose on the day","","29783"
"40","Total Vaccination 1st and 2nd dose on the day","","33261"
