"D
      
   
   
         
GOVERNMENT OF KARNATAKA 
 
DEPARTMENT OF HEALTH & FAMILY WELFARE 
 
COVID-19 
 
MEDIA BULLETIN 
ATE:14-03-2022 
Particulars 
Today’s 
Cumulative 
A 
Total Passengers screened at Air ports  
2816* 
722662","","","","","",""
"","","","","","",""
"","T
he first case of Corona Virus infection, which has caused a pandemic  resulting in catastrophic 
health 
implications  and  human  miseries 
throughout 
the  globe,  was  detected 
in 
state  on 
08.03.2020. It was a case of international traveler returning to Bengaluru Urban. 
A robust surveillance system with elaborate contingency plan is in place for limiting the spread of 
the disease.  
In  the  fight  against  COVID-19  pandemic  an  effective 
intervention  in 
the  form  of  COVID 
vaccination  has  been  implemented  in  Karnataka  since  January  16th  2021  as  per  Government  of 
India operational guidelines. 
The state is addressing the ongoing challenge of COVID 19 through the 5 pillars of Management 
i.e., “Test- Track- Treat- Vaccinate and Adherence to COVID Appropriate Behaviour”.","","","","",""
"","","","","","",""
"","","1","Today’s Discharges","337","",""
"","","2","Total Discharges","3901430","",""
"","","3","New Cases Reported(13.03.2022, 00:00 to 23:59)","106","",""
"","","4","Total Active Cases","2420","",""
"","","5","New Covid Deaths","4","",""
"","","6","Total Covid Deaths","40022","",""
"","","7","Total Positive Cases","3943912","",""
"","","8","Positivity rate for the day (13.03.2022, 00:00 to 23:59)","0.45%","",""
"","","9","Case fatality rate (CFR) for the day (13.03.2022, 00:00 to 23:59)","3.77%","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"*
     
   
   
Date: 13-03-2022 
 
 
 
Date: 14-03-2022 
Page 1 of 8","","","","","",""
