"S.No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","23064","","5284","","28348",""
"2","Total Active Cases","40 
(0.17%)","","01 
(0.02%)","","41 
(0.14%)",""
"3","Total Cured/Discharged","22856 
(99.1%)","","5223 
(98.8%)","","28079 
(99.1%)",""
"4","Total Died","168 
(0.73%)","","60 
(1.1%)","","228 
(0.81%)",""
"5","Total Positive cases admitted in COVID 
Hospital","04","","00","","04",""
"6","Total Positive cases in Home Isolation","34","","01","","35",""
"7","COVID Care Centre","00","","00","","00",""
"8","Facility Isolation","02","","00","","02",""
"9","No. of Samples Tested (Today)","303","","20","","323",""
"10","No. of Samples Positive (Today)","09","","00","","09",""
"11","No. of Samples Negative (Today)","294","","20","","314",""
"12","Repeat Positive/ Resampling (Today)","00","","00","","00",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT 
Ladakh)","a.)Total Sample collected at KBR Airport 
b.)Total Samples collected at Minamarg (Drass) 
c.)Total Sample collected at Upshi 
d.)Total sample collected at Khaltsi 
              Grand Total","","","","","64 
14 
44 
00 
122"
"14","COVID-19TotalTestsdonebyUTofLadakh(Cumulative)","Type of Test","Test Done Till 
(23/06/2022)","","Test Done Today 
(24/06/2022)","","Cumulative"
"","","a)RTPCR","325681","","240","","325921"
"","","b)TRUENAT","14283","","18","","14301"
"","","c)RAT","350222","","65","","350287"
"","","d)  CBNAAT","1105","","00","","1105"
"","","TOTAL","691291","","323","","691614"
