"S. No","Subject","Number"
"1","Total Number of people vaccinated on 5th Mar","1,95,829"
"2","First Dose on 5th Mar","14,975"
"3","Second Dose on 5th Mar","1,71,160"
"4","Precaution Dose on 5th Mar","9,694"
"5","Cumulative Vaccination till 5th Mar","12,98,27,546"
"6","Cumulative Vaccination First Dose","6,97,28,960"
"7","Cumulative Vaccination Second Dose","5,84,50,817"
"8","Cumulative Precaution Dose","16,47,769"
"9","Number of CVC (Common Vaccination Centres)","3,489"
"10","Cumulative AEFI cases reported","6,965"
"11","Vaccine wastage","-7%"
