"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","1,054"
"2","Number of persons tested positive today in Tamil Nadu","86"
"3","Total Number of persons tested positive till date","34,51,996"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","40,825/ 
6,50,47,297@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","40,757/ 
6,38,71,319"
"6","No. of Male / Female / Transgender tested positive today","39/47/0"
"7","No. of Male / Female / Transgender tested positive till date","20,14,745/14,37,213/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","335 (69 Govt+ 
266$ Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","204/ 
34,12,918"
"10","Total number of deaths today/ till date","1(0 Private &  
1 Govt) /38,024"
