"S.No","District","Today's Samples","Today's 
Positive","Today's 
Death","Today's  
Recovered/
Discharged","Active  case"
"1","AJMER","244","13","0","9","72"
"2","ALWAR","482","2","0","0","40"
"3","BANSWARA","127","0","0","0","0"
"4","BARAN","109","0","0","0","4"
"5","BARMER","21","0","0","0","0"
"6","BHARATPUR","19","0","0","0","1"
"7","BHILWARA","42","0","0","0","0"
"8","BIKANER","244","0","0","2","4"
"9","BUNDI","90","0","0","0","0"
"10","CHITTORGARH","139","2","0","2","4"
"11","CHURU","85","0","0","0","0"
"12","DAUSA","356","1","0","0","1"
"13","DHOLPUR","93","0","0","0","0"
"14","DUNGARPUR","1","0","0","0","2"
"15","GANGANAGAR","38","0","0","0","1"
"16","HANUMANGARH","130","0","0","0","1"
"17","JAIPUR","690","13","0","7","89"
"18","JAISALMER","5","0","0","0","0"
"19","JALORE","38","0","0","0","0"
"20","JHALAWAR","18","1","0","1","3"
"21","JHUNJHUNU","200","0","0","0","1"
"22","JODHPUR","187","7","0","1","50"
"23","KARAULI","274","3","0","0","3"
"24","KOTA","499","7","0","6","38"
"25","NAGAUR","239","0","0","0","4"
"26","PALI","210","7","0","0","17"
