"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","13,094"
"2","Number of persons tested positive today in Tamil Nadu","1,547"
"","Passengers returned from other states  by Domestic 
airport tested positive today","Maharashtra-1"
"","Total","1,548"
"3","Total Number of persons tested positive till date","35,42,779"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","31,457/ 
6,81,14,093@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","30,802/ 
6,69,11,870"
"6","No. of Male / Female / Transgender tested positive today","916/632/0"
"7","No. of Male / Female / Transgender tested positive till date","20,65,577/14,77,164/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","345 (77 Govt+ 
268 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","1,964/ 
34,91,653"
"10","Total number of deaths today/ till date","0 (0 Private &  
0 Govt) /38,032"
