"Sr.No. Description","","From 1st April 2022","Till Date"
"1","Total Samples taken","1653305","20643769"
"2","Total No. of patients tested Positive","23529","784057"
"3","No. of patients discharged","22896","763170"
"4","Total Deaths reported","190","20495"
"5","Sample collected on the day","","6180"
"6","Test conducted on the day","","6295"
"7","Positive cases on the day","","52"
"8","Number of active Cases","","392"
"9","No. of Patients on oxygen support","","20"
"10","Patients at critical care Level-3 facilities","","2"
"11","Patients who are critical and on ventilator support","","0"
"12","Healthcare Workers vaccinated with 1st dose on the day","","0"
"13","Total Healthcare Workers vaccinated with 1st dose","","218868"
"14","Frontline Workers vaccinated with 1st dose on the day","","1"
"15","Total Frontline Workers vaccinated with 1st dose","","1117909"
"16","Healthcare Workers vaccinated with 2nd dose on the day","","5"
"17","Total Healthcare Workers vaccinated with 2nd dose","","211896"
"18","Frontline Workers vaccinated with 2nd dose on the day","","16"
"19","Total Frontline Workers vaccinated with 2nd dose","","1019059"
"20","Above 45 Vaccinated with 1st dose on the day","","75"
"21","Total Above 45 Vaccinated with 1st dose","","8345505"
"22","Above 45 Vaccinated with 2nd dose on the day","","331"
"23","Total Above 45 Vaccinated with 2nd dose","","7646098"
"24","18-44 years age group Vaccinated with 1st dose on the day","","372"
"25","Total 18-44 years age group Vaccinated with 1st dose","","12656404"
"26","18-44 years age group Vaccinated with 2nd dose on the day","","1119"
"27","Total 18-44 years age group Vaccinated with 2nd dose","","10678977"
"28","15-17 years age group Vaccinated with 1st dose on the day","","132"
"29","Total 15-17 years age group Vaccinated with 1st dose","","1112917"
"30","15-17 years age group Vaccinated with 2nd dose on the day","","395"
"31","Total 15-17 years age group Vaccinated with 2nddose","","856457"
"32","12-14 years age group Vaccinated with 1st dose on the day","","451"
"33","Total 12-14 years age group Vaccinated with 1st dose","","671178"
"34","12-14 years age group Vaccinated with 2nddose on the day","","814"
"35","Total 12-14 years age group Vaccinated with 2nd dose","","470606"
"36","Precautionary dose given on the day","","6155"
"37","Total Precautionary dose given","","1681872"
"38","Total Vaccination 1st dose on the day","","448"
"39","Total Vaccination 2nd dose on the day","","1471"
"40","Total Vaccination 1st and 2nd dose on the day","","1919"
