"Sr.No. Description","","From 1st April 2022","Till Date"
"1","Total Samples taken","1428839*","20419302*"
"2","Total No. of patients tested Positive","20304","780831"
"3","No. of patients discharged","18222","758497"
"4","Total Deaths reported","138","20443"
"5","Sample collected on the day","","11245"
"6","Test conducted on the day","","11058"
"7","Positive cases on the day","","303"
"8","Number of active Cases","","1891"
"9","No. of Patients on oxygen support","","96"
"10","Patients at critical care Level-3 facilities","","26"
"11","Patients who are critical and on ventilator support","","0"
"12","Healthcare Workers vaccinated with 1st dose on the day","","1"
"13","Total Healthcare Workers vaccinated with 1st dose","","218842"
"14","Frontline Workers vaccinated with 1st dose on the day","","1"
"15","Total Frontline Workers vaccinated with 1st dose","","1117813"
"16","Healthcare Workers vaccinated with 2nd dose on the day","","3"
"17","Total Healthcare Workers vaccinated with 2nd dose","","211706"
"18","Frontline Workers vaccinated with 2nd dose on the day","","13"
"19","Total Frontline Workers vaccinated with 2nd dose","","1018285"
"20","Above 45 Vaccinated with 1st dose on the day","","51"
"21","Total Above 45 Vaccinated with 1st dose","","8341061"
"22","Above 45 Vaccinated with 2nd dose on the day","","375"
"23","Total Above 45 Vaccinated with 2nd dose","","7622693"
"24","18-44 years age group Vaccinated with 1st dose on the day","","158"
"25","Total 18-44 years age group Vaccinated with 1st dose","","12642614"
"26","18-44 years age group Vaccinated with 2nd dose on the day","","1139"
"27","Total 18-44 years age group Vaccinated with 2nd dose","","10619135"
"28","15-17 years age group Vaccinated with 1st dose on the day","","43"
"29","Total 15-17 years age group Vaccinated with 1st dose","","1106727"
"30","15-17 years age group Vaccinated with 2nd dose on the day","","98"
"31","Total 15-17 years age group Vaccinated with 2nddose","","840110"
"32","12-14 years age group Vaccinated with 1st dose on the day","","67"
"33","Total 12-14 years age group Vaccinated with 1st dose","","655335"
"34","12-14 years age group Vaccinated with 2nddose on the day","","125"
"35","Total 12-14 years age group Vaccinated with 2nd dose","","445295"
"36","Precautionary dose given on the day","","3796"
"37","Total Precautionary dose given","","1397305"
"38","Total Vaccination 1st dose on the day","","211"
"39","Total Vaccination 2nd dose on the day","","1530"
"40","Total Vaccination 1st and 2nd dose on the day","","1741"
