"S.No","District","Cumulative 
Sample","Today's Positive","Cumulative 
Positive","Today's 
Death","Cumulative 
Death","Today's  
Recovered/Dischar
ged","Cumulative 
Recovered/
Discharged","Active  case"
"1","AJMER","735010","270","48022","2","428","229","45521","2073"
"2","ALWAR","1449531","334","82264","0","317","408","78768","3179"
"3","BANSWARA","285075","148","13411","0","105","33","11952","1354"
"4","BARAN","206387","138","14572","0","62","114","13719","791"
"5","BARMER","385269","35","21121","1","197","128","20197","727"
"6","BHARATPUR","447427","104","30625","1","269","477","28759","1597"
"7","BHILWARA","472665","140","36948","1","159","437","34898","1891"
"8","BIKANER","679687","137","48614","1","569","156","47097","948"
"9","BUNDI","211804","71","9431","0","52","25","8863","516"
"10","CHITTORGARH","429561","112","28602","0","140","480","28010","452"
"11","CHURU","391052","120","19960","0","112","160","19125","723"
"12","DAUSA","257917","28","15471","1","74","36","15082","315"
"13","DHOLPUR","260354","75","13409","0","49","127","12612","748"
"14","DUNGARPUR","314345","352","24842","0","134","166","22968","1740"
"15","GANGANAGAR","391225","165","26203","0","156","1381","23905","2142"
"16","HANUMANGARH","458958","99","21641","0","114","248","20612","915"
"17","JAIPUR","3041043","942","262033","6","2068","2069","246119","13846"
"18","JAISALMER","232900","144","16287","0","68","114","15689","530"
"19","JALORE","424246","0","10446","0","77","6","10286","83"
"20","JHALAWAR","344480","71","17013","0","199","129","16270","544"
"21","JHUNJHUNU","452101","102","17837","0","174","66","16745","918"
"22","JODHPUR","1313807","503","137033","2","1148","999","132159","3726"
"23","KARAULI","215771","30","8444","2","82","71","8178","184"
