"D
       
GOVERNMENT OF KARNATAKA 
 
DEPARTMENT OF HEALTH & FAMILY WELFARE 
 
COVID-19 
 
MEDIA BULLETIN 
ATE: 28-06-2022","","","","","",""
"","","","","","",""
"","T
he first case of Corona Virus infection, which has caused a pandemic resulting in catastrophic 
health 
implications  and  human  miseries 
throughout 
the  globe,  was  detected 
in 
state  on 
08.03.2020. It was a case of international traveler returning to Bengaluru Urban. 
A robust surveillance system with elaborate contingency plan is in place for limiting the spread of 
the disease.  
In  the  fight  against  COVID-19  pandemic  an  effective 
intervention  in 
the  form  of  COVID 
vaccination  has  been  implemented  in  Karnataka  since  January  16th  2021  as  per  Government  of 
India operational guidelines. 
The state is addressing the ongoing challenge of COVID 19 through the 5 pillars of Management 
i.e., “Test- Track- Treat- Vaccinate and Adherence to COVID Appropriate Behaviour”.","","","","",""
"","","","","","",""
"","","1","Today’s Discharges","337","",""
"","","2","Total Discharges","3921387","",""
"","","3","Today's Tests Conducted","17784","",""
"","","4","Total Tests Conducted","66936602","",""
"","","5","Today’s New Cases Reported (27.06.2022, 00:00 to 23:59)","968*","",""
"","","6","Total Active Cases","4918","",""
"","","7","Today's Deaths Reported","1","",""
"","","8","Total Covid Deaths","40073","",""
"","","9","Total Positive Cases","3966420","",""
"","","10","Positivity Rate for the day (27.06.2022, 00:00 to 23:59)","5.44%","",""
"","","11","*Weekly Total Positivity Rate","3.69%","",""
"","","12","Case Fatality Rate (CFR) for the day (27.06.2022, 00:00 to 23:59)","0.10%","",""
"","","13","*Weekly Case Fatality Rate","0.03%","",""
"*
  *
   
   
From 22-06-2022 to 28-06-2022 
 Today positives includes backlog cases which could not be ported from ICMR data base earlier in view of technical glitch (mainly from 21-6-2022 
 onwards) along with positives as on 27-6-2022. 
Particulars 
Today’s 
Cumulative 
A 
Total Passengers screened at Air ports 
5995* 
1126715 
           Date: 27-6-2022 
          
 
Date: 28-06-2022 
Page 1 of 8","","","","","",""
