"S. No","Subject","Number"
"1","Total Number of people vaccinated on 6th Feb","16,674"
"2","First Dose on 6th Feb","1,234"
"3","Second Dose on 6th Feb","12,262"
"4","Precaution Dose on 6th Feb","3,178"
"5","Cumulative Vaccination till 6th Feb","12,22,56,922"
"6","Cumulative Vaccination First Dose","6,91,81,937"
"7","Cumulative Vaccination Second Dose","5,19,80,895"
"8","Cumulative Precaution Dose","10,94,090"
"9","Number of CVC (Common Vaccination Centres)","1,250"
"10","Cumulative AEFI cases reported","6,821"
"11","Vaccine wastage","-7%"
