Date,State/UTCode,District,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeOtherNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,last_updated,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeOtherNumberForState,cumulativeTestedNumberForState
2022-03-09,MH,Ahmednagar,,,11 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,377140,7229,11,369662,,2022-03-10 13:24:11.986163,2022-03-10 13:24:11.987046,,4003 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,7869857,143745,7719100,4003,78419100
2022-03-09,MH,Akola,,,4 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,66149,1464,4,64664,,2022-03-10 13:24:11.986163,2022-03-10 13:24:11.987046,,4003 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,7869857,143745,7719100,4003,78419100
2022-03-09,MH,Amravati,,,2 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,105915,1622,2,104281,,2022-03-10 13:24:11.986163,2022-03-10 13:24:11.987046,,4003 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,7869857,143745,7719100,4003,78419100
2022-03-09,MH,Aurangabad,,,14 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,176325,4270,14,171990,,2022-03-10 13:24:11.986163,2022-03-10 13:24:11.987046,,4003 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,7869857,143745,7719100,4003,78419100
2022-03-09,MH,Beed,,,7 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,109084,2874,7,106181,,2022-03-10 13:24:11.986163,2022-03-10 13:24:11.987046,,4003 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,7869857,143745,7719100,4003,78419100
2022-03-09,MH,Bhandara,,,10 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,67930,1132,10,66777,,2022-03-10 13:24:11.986163,2022-03-10 13:24:11.987046,,4003 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,7869857,143745,7719100,4003,78419100
2022-03-09,MH,Buldhana,,,6 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,91836,819,6,90967,,2022-03-10 13:24:11.986163,2022-03-10 13:24:11.987046,,4003 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,7869857,143745,7719100,4003,78419100
2022-03-09,MH,Chandrapur,,,4 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,98807,1587,4,97204,,2022-03-10 13:24:11.986163,2022-03-10 13:24:11.987046,,4003 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,7869857,143745,7719100,4003,78419100
2022-03-09,MH,Dhule,,,11 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,50671,659,11,49999,,2022-03-10 13:24:11.986163,2022-03-10 13:24:11.987046,,4003 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,7869857,143745,7719100,4003,78419100
2022-03-09,MH,Gadchiroli,,,34 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,36945,691,34,36205,,2022-03-10 13:24:11.986163,2022-03-10 13:24:11.987046,,4003 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,7869857,143745,7719100,4003,78419100
2022-03-09,MH,Gondia,,,7 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,45398,580,7,44810,,2022-03-10 13:24:11.986163,2022-03-10 13:24:11.987046,,4003 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,7869857,143745,7719100,4003,78419100
2022-03-09,MH,Hingoli,,,1 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,22164,513,1,21648,,2022-03-10 13:24:11.986163,2022-03-10 13:24:11.987046,,4003 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,7869857,143745,7719100,4003,78419100
2022-03-09,MH,Jalgaon,,,33 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,149471,2728,33,146695,,2022-03-10 13:24:11.986163,2022-03-10 13:24:11.987046,,4003 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,7869857,143745,7719100,4003,78419100
2022-03-09,MH,Jalna,,,1 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,66304,1223,1,65078,,2022-03-10 13:24:11.986163,2022-03-10 13:24:11.987046,,4003 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,7869857,143745,7719100,4003,78419100
2022-03-09,MH,Kolhapur,,,5 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,220427,5899,5,214486,,2022-03-10 13:24:11.986163,2022-03-10 13:24:11.987046,,4003 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,7869857,143745,7719100,4003,78419100
2022-03-09,MH,Latur,,,6 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,104900,2483,6,102399,,2022-03-10 13:24:11.986163,2022-03-10 13:24:11.987046,,4003 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,7869857,143745,7719100,4003,78419100
2022-03-09,MH,Mumbai,,,2862 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,1056149,16692,2862,1036174,,2022-03-10 13:24:11.986163,2022-03-10 13:24:11.987046,,4003 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,7869857,143745,7719100,4003,78419100
2022-03-09,MH,Nagpur,,,71 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,576277,9143,71,566953,,2022-03-10 13:24:11.986163,2022-03-10 13:24:11.987046,,4003 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,7869857,143745,7719100,4003,78419100
2022-03-09,MH,Nanded,,,7 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,102639,2696,7,99922,,2022-03-10 13:24:11.986163,2022-03-10 13:24:11.987046,,4003 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,7869857,143745,7719100,4003,78419100
2022-03-09,MH,Nandurbar,,,3 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,46603,959,3,45628,,2022-03-10 13:24:11.986163,2022-03-10 13:24:11.987046,,4003 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,7869857,143745,7719100,4003,78419100
2022-03-09,MH,Nashik,,,1 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,472714,8904,1,463626,,2022-03-10 13:24:11.986163,2022-03-10 13:24:11.987046,,4003 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,7869857,143745,7719100,4003,78419100
2022-03-09,MH,Osmanabad,,,116 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,75106,2023,116,72952,,2022-03-10 13:24:11.986163,2022-03-10 13:24:11.987046,,4003 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,7869857,143745,7719100,4003,78419100
2022-03-09,MH,Other State,,,2 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,144,111,2,31,,2022-03-10 13:24:11.986163,2022-03-10 13:24:11.987046,,4003 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,7869857,143745,7719100,4003,78419100
2022-03-09,MH,Palghar,,,15 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,163432,3392,15,159991,,2022-03-10 13:24:11.986163,2022-03-10 13:24:11.987046,,4003 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,7869857,143745,7719100,4003,78419100
2022-03-09,MH,Parbhani,,,20 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,58519,1256,20,57231,,2022-03-10 13:24:11.986163,2022-03-10 13:24:11.987046,,4003 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,7869857,143745,7719100,4003,78419100
2022-03-09,MH,Pune,,,350 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,1451396,20158,350,1429730,,2022-03-10 13:24:11.986163,2022-03-10 13:24:11.987046,,4003 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,7869857,143745,7719100,4003,78419100
2022-03-09,MH,Raigad,,,7 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,244209,4936,7,239185,,2022-03-10 13:24:11.986163,2022-03-10 13:24:11.987046,,4003 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,7869857,143745,7719100,4003,78419100
2022-03-09,MH,Ratnagiri,,,5 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,84394,2541,5,81836,,2022-03-10 13:24:11.986163,2022-03-10 13:24:11.987046,,4003 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,7869857,143745,7719100,4003,78419100
2022-03-09,MH,Sangli,,,9 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,226989,5655,9,221299,,2022-03-10 13:24:11.986163,2022-03-10 13:24:11.987046,,4003 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,7869857,143745,7719100,4003,78419100
2022-03-09,MH,Satara,,,34 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,278103,6677,34,271335,,2022-03-10 13:24:11.986163,2022-03-10 13:24:11.987046,,4003 cases were recorded as Deaths due to Non Covid Reasons /Migrated / Others,7869857,143745,7719100,4003,78419100
