"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","4,977"
"2","Number of persons tested positive today in Tamil Nadu","387"
"3","Total Number of persons tested positive till date","35,86,218"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","12,574/ 
6,95,18,616@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","12,413/ 
6,82,99,213"
"6","No. of Male / Female / Transgender tested positive today","222/165/0"
"7","No. of Male / Female / Transgender tested positive till date","20,91,045/14,95,135/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","347 (78 Govt+ 
269  Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","482/ 
35,43,194"
"10","Total number of deaths today/ till date","0 (0 Private & 
0 Govt) /38,047"
