"D
      
   
   
         
GOVERNMENT OF KARNATAKA 
 
DEPARTMENT OF HEALTH & FAMILY WELFARE 
 
COVID-19 
 
MEDIA BULLETIN 
ATE: 08-03-2022 
Particulars 
Today’s 
Cumulative 
A 
Total Passengers screened at Air ports  
2149* 
708157","","","","","",""
"","","","","","",""
"","T
he first case of Corona Virus infection, which has caused a pandemic  resulting in catastrophic 
health 
implications  and  human  miseries 
throughout 
the  globe,  was  detected 
in 
state  on 
08.03.2020. It was a case of international traveler returning to Bengaluru Urban. 
A robust surveillance system with elaborate contingency plan is in place for limiting the spread of 
the disease.  
In  the  fight  against  COVID-19  pandemic  an  effective 
intervention  in 
the  form  of  COVID 
vaccination  has  been  implemented  in  Karnataka  since  January  16th  2021  as  per  Government  of 
India operational guidelines. 
The state is addressing the ongoing challenge of COVID 19 through the 5 pillars of Management 
i.e., “Test- Track- Treat- Vaccinate and Adherence to COVID Appropriate Behaviour”.","","","","",""
"","","","","","",""
"","","1","Today’s Discharges","258","",""
"","","2","Total Discharges","3899905","",""
"","","3","New Cases Reported (07.03.2022, 00:00 to 23:59)","197","",""
"","","4","Total Active Cases","2980","",""
"","","5","New Covid Deaths","8","",""
"","","6","Total Covid Deaths","40004","",""
"","","7","Total Positive Cases","3942927","",""
"","","8","Positivity rate for the day (07.03.2022, 00:00 to 23:59)","0.47%","",""
"","","9","Case fatality rate (CFR) for the day (07.03.2022, 00:00 to 23:59)","4.06%","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"*
     
     
   
Date: 07-03-2022 
 
 
Date: 08-03-2022 
 Page 1 of 8","","","","","",""
