"1","Total Samples taken","*18258570"
"2","Sample collected on the day","27771"
"3","Test conducted on the day","20571"
"4","Total No. of patients tested Positive","756130"
"5","No. of patients discharged","735574"
"6","Positive cases on the day","292"
"7","Number of active Cases","2933"
"8","Total Deaths reported","17623"
"9","No. of Patients on oxygen support","188"
"10","Patients at critical care Level-3 facilities","50"
"11","Patients who are critical and on ventilator support","22"
"12","Healthcare Workers vaccinated with 1st dose on the day","16"
"13","Total Healthcare Workers vaccinated with 1st dose","218320"
"14","Frontline Workers vaccinated with 1st dose on the day","52"
"15","Total Frontline Workers vaccinated with 1st dose","1116341"
"16","Healthcare Workers vaccinated with 2nd dose on the day","510"
"17","Total Healthcare Workers vaccinated with 2nd dose","203670"
"18","Frontline Workers vaccinated with 2nd dose on the day","3306"
"19","Total Frontline Workers vaccinated with 2nd dose","978671"
"20","Above 45 Vaccinated with 1st dose on the day","32950"
"21","Total Above 45 Vaccinated with 1st dose","8054202"
"22","Above 45 Vaccinated with 2nd dose on the day","38150"
"23","Total Above 45 Vaccinated with 2nd dose","6375995"
"24","18-44 years age group Vaccinated with 1st dose on the day","70559"
"25","Total 18-44 years age group Vaccinated with 1st dose","11976535"
"26","18-44 years age group Vaccinated with 2nd dose on the day","70248"
"27","Total 18-44 years age group Vaccinated with 2nd dose","7967642"
"28","15-17 years age group Vaccinated with 1st dose on the day","9109"
"29","Total 15-17 years age group Vaccinated with 1st dose","727348"
"30","15-17 years age group Vaccinated with 2nd dose on the day","8233"
"31","Total 15-17 years age group Vaccinated with 2nddose","49072"
"32","Precautionary dose given on the day","6698"
"33","Total Precautionary dose given","357787"
"34","Total Vaccination 1st dose on the day","103577"
"35","Total Vaccination 2nd dose on the day","112214"
"36","Total Vaccination 1st and 2nd dose on the day","215791"
