"S. No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","21335","","4561","","25896",""
"2","Total Active Cases","808 
(3.8%)","","404 
(8.9%)","","1212 
(4.7%)",""
"3","Total Cured/ Discharged","20362 
(95.4%)","","4098                                  
(89.8%)","","(94.5%)",""
"4","Total Died","165 
(0.77%)","","59 
(1.3%)","","224 
(0.86%)",""
"5","Total Positive cases admitted in COVID 
Hospital","21","","5","","26",""
"6","Total Positive cases in Home Isolation","697","","399","","1096",""
"7","COVID Care Centre","71","","0","","71",""
"8","Facility Isolation","19","","0","","19",""
"9","No. of Samples Tested (Today)","471","","426","","897",""
"10","No. of Samples Positive (Today)","102","","31","","133",""
"11","No. of Samples Negative (Today)","369","","395","","764",""
"12","Repeat Positive/ Resampling (Today)","00","","00","","00",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT Ladakh)","a.) Total Sample collected at KBR Airport 
b.) Total Samples collected at Minamarg (Drass) 
c.) Total Sample collected at Upshi 
d.) Total sample collected at Khaltsi 
              Grand Total","","","","","563 
          00 
      00 
           00 
          563"
"14","COVID-19 Total Tests done by UT of Ladakh (Cumulative)","Type of Test","Test Done Till 
(29/01/2022)","","Test Done Today 
(30/01/2022)","","Cumulative"
"","","a)  RTPCR","275595","","595","","276190"
"","","b)  TRUENAT","11619","","31","","11650"
"","","c)  RAT","343342","","271","","343613"
"","","d)  CBNAAT","324","","00","","324"
"","","TOTAL","630880","","897","","631777"
