"S.No","District","Today's Samples","Today's 
Positive","Today's 
Death","Today's  
Recovered/
Discharged","Active  case"
"1","AJMER","204","0","0","15","42"
"2","ALWAR","452","3","0","7","16"
"3","BANSWARA","14","0","0","0","0"
"4","BARAN","52","0","0","2","0"
"5","BARMER","37","0","0","0","0"
"6","BHARATPUR","18","0","0","0","1"
"7","BHILWARA","82","0","0","0","0"
"8","BIKANER","217","1","0","2","5"
"9","BUNDI","31","0","0","0","0"
"10","CHITTORGARH","74","4","0","1","7"
"11","CHURU","73","0","0","0","0"
"12","DAUSA","116","0","0","0","1"
"13","DHOLPUR","6","0","0","0","0"
"14","DUNGARPUR","0","0","0","0","0"
"15","GANGANAGAR","20","0","0","0","1"
"16","HANUMANGARH","119","0","0","1","1"
"17","JAIPUR","817","15","0","12","103"
"18","JAISALMER","15","0","0","0","0"
"19","JALORE","36","0","0","0","0"
"20","JHALAWAR","173","1","0","2","1"
"21","JHUNJHUNU","186","0","0","0","1"
"22","JODHPUR","199","18","0","20","36"
"23","KARAULI","56","0","0","0","3"
"24","KOTA","505","3","0","6","19"
"25","NAGAUR","176","0","0","1","0"
"26","PALI","144","2","0","1","16"
