"S. No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","18132","","3660","","21792",""
"2","Total Active Cases","202 
(1.11%)","","18 
(0.5%)","","220 
(1.01%)",""
"3","Total Cured/ Discharged","17773 
(98%)","","3584                                  
(98%)","","(98%)",""
"4","Total Died","157 
(0.87%)","","58 
(1.6%)","","215 
(0.99%)",""
"5","Total Positive cases admitted in COVID 
Hospital","15","","00","","15",""
"6","Total Positive cases in Home Isolation","153","","18","","171",""
"7","COVID Care Centre","18","","0","","18",""
"8","Facility Isolation","16","","0","","16",""
"9","No. of Samples Tested (Today)","738","","211","","949",""
"10","No. of Samples Positive (Today)","17","","02","","19",""
"11","No. of Samples Negative (Today)","720","","209","","929",""
"12","Repeat Positive/ Resampling (Today)","01","","00","","01",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT Ladakh)","a.) Total Sample collected at KBR Airport 
b.) Total Samples collected at Minamarg (Drass) 
c.) Total Sample collected at Upshi 
d.) Total sample collected at Khaltsi 
              Grand Total","","","","","177 
          145 
       00 
           14 
          336"
"14","COVID-19 Total Tests done by UT of Ladakh (Cumulative)","Type of Test","Test Done Till 
(09/12/2021)","","Test Done Today 
(10/12/2021)","","Cumulative"
"","","a)  RTPCR","239340","","587","","239927"
"","","b)  TRUENAT","11117","","06","","11123"
"","","c)  RAT","334708","","356","","335064"
"","","d)  CBNAAT","172","","00","","172"
"","","TOTAL","585337","","949","","586286"
