"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","1,903"
"2","Number of persons tested positive today in Tamil Nadu","143"
"","Passengers returned from other countries  by 
International airport tested positive today","UAE - 2"
"","Passengers returned from other states  by Road tested 
positive today","Andhra Pradesh - 2"
"","Total","147"
"3","Total Number of persons tested positive till date","34,51,469"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","41,648/ 
6,48,37,145@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","41,519/ 
6,36,61,624"
"6","No. of Male / Female / Transgender tested positive today","81/66/0"
"7","No. of Male / Female / Transgender tested positive till date","20,14,479/14,36,952/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","333 (69 Govt+ 
264 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","387/ 
34,11,545"
"10","Total number of deaths today/ till date","2(0 Private &  
2 Govt) /38,021"
