"Sr.No. Description","","From 1st April 2022","Till Date"
"1","Total Samples taken","616564","19605433"
"2","Total No. of patients tested Positive","1314","760391"
"3","No. of patients discharged","1257","742507"
"4","Total Deaths reported","6","17752"
"5","Sample collected on the day","","9780"
"6","Test conducted on the day","","9711"
"7","Positive cases on the day","","21"
"8","Number of active Cases","","132"
"9","No. of Patients on oxygen support","","0"
"10","Patients at critical care Level-3 facilities","","0"
"11","Patients who are critical and on ventilator support","","0"
"12","Healthcare Workers vaccinated with 1st dose on the day","","3"
"13","Total Healthcare Workers vaccinated with 1st dose","","218630"
"14","Frontline Workers vaccinated with 1st dose on the day","","11"
"15","Total Frontline Workers vaccinated with 1st dose","","1117316"
"16","Healthcare Workers vaccinated with 2nd dose on the day","","42"
"17","Total Healthcare Workers vaccinated with 2nd dose","","210162"
"18","Frontline Workers vaccinated with 2nd dose on the day","","72"
"19","Total Frontline Workers vaccinated with 2nd dose","","1012528"
"20","Above 45 Vaccinated with 1st dose on the day","","446"
"21","Total Above 45 Vaccinated with 1st dose","","8315099"
"22","Above 45 Vaccinated with 2nd dose on the day","","7199"
"23","Total Above 45 Vaccinated with 2nd dose","","7285992"
"24","18-44 years age group Vaccinated with 1st dose on the day","","1531"
"25","Total 18-44 years age group Vaccinated with 1st dose","","12561074"
"26","18-44 years age group Vaccinated with 2nd dose on the day","","15250"
"27","Total 18-44 years age group Vaccinated with 2nd dose","","9909473"
"28","15-17 years age group Vaccinated with 1st dose on the day","","648"
"29","Total 15-17 years age group Vaccinated with 1st dose","","1076528"
"30","15-17 years age group Vaccinated with 2nd dose on the day","","2314"
"31","Total 15-17 years age group Vaccinated with 2nd dose","","715448"
"32","12-14 years age group Vaccinated with 1st dose on the day","","1156"
"33","Total 12-14 years age group Vaccinated with 1st dose","","577510"
"34","12-14 years age group Vaccinated with 2nddose on the day","","2921"
"35","Total 12-14 years age group Vaccinated with 2nd dose","","280232"
"36","Precautionary dose given on the day","","3222"
"37","Total Precautionary dose given","","648286"
"38","Total Vaccination 1st dose on the day","","1991"
"39","Total Vaccination 2nd dose on the day","","22563"
"40","Total Vaccination 1st and 2nd dose on the day","","24554"
