"S.No","District","Cumulative 
Sample","Today's Positive","Cumulative 
Positive","Today's 
Death","Cumulative 
Death","Today's  
Recovered/Dischar
ged","Cumulative 
Recovered/
Discharged","Active  case"
"1","AJMER","749128","35","49196","1","437","35","48046","713"
"2","ALWAR","1479318","49","83932","0","319","123","82784","829"
"3","BANSWARA","290723","70","14121","0","106","4","13097","918"
"4","BARAN","211642","36","15065","0","63","59","14749","253"
"5","BARMER","390125","5","21352","0","199","17","20872","281"
"6","BHARATPUR","456085","3","31191","0","270","115","30582","339"
"7","BHILWARA","481092","5","37884","0","161","129","37173","550"
"8","BIKANER","691748","37","49386","0","579","49","48398","409"
"9","BUNDI","216533","5","9677","0","55","43","9550","72"
"10","CHITTORGARH","436576","10","29186","0","140","91","29003","43"
"11","CHURU","399833","1","20490","0","113","0","20009","368"
"12","DAUSA","265352","8","15688","1","76","26","15486","126"
"13","DHOLPUR","265360","6","13643","0","49","40","13461","133"
"14","DUNGARPUR","320289","12","25348","0","134","112","24981","233"
"15","GANGANAGAR","400200","37","27641","0","156","217","26575","910"
"16","HANUMANGARH","466094","0","22211","0","114","71","21944","153"
"17","JAIPUR","3119368","336","269352","0","2100","801","261652","5600"
"18","JAISALMER","236297","8","16873","0","68","36","16374","431"
"19","JALORE","429456","1","10501","0","78","28","10409","14"
"20","JHALAWAR","351047","22","17469","0","203","48","17060","206"
"21","JHUNJHUNU","462500","20","18701","1","179","63","18030","492"
"22","JODHPUR","1338643","85","139769","0","1159","300","137672","938"
"23","KARAULI","222090","11","8718","0","83","0","8499","136"
