"S.
No.","District","Total Confirmed Cases","","Total Cured","","Total Deaths","","Total Active
Cases"
"","","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date",""
"1","Ludhiana","134","109911","119","107608","1","2280","23"
"2","SAS Nagar","245","95936","185","94718","0","1148","70"
"3","Jalandhar","94","78366","79","76779","0","1578","9"
"4","Patiala","197","62229","194","60766","0","1458","5"
"5","Amritsar","49","59444","42","57750","0","1682","12"
"6","Bathinda","31","50901","33","49811","0","1088","2"
"7","Hoshiarpur","49","40888","58","39790","0","1096","2"
"8","Gurdaspur","16","26955","13","26086","1","865","4"
"9","Pathankot","33","24567","35","24068","0","495","4"
"10","Fazilka","17","23415","29","22868","0","545","2"
"11","Muktsar","6","22560","11","22021","0","539","0"
"12","Kapurthala","30","22063","20","21472","1","583","8"
"13","Ropar","18","17956","10","17493","0","455","8"
"14","Ferozepur","11","17910","10","17370","0","537","3"
"15","Mansa","4","17232","3","16839","0","392","1"
"16","Faridkot","23","16806","23","16464","0","338","4"
"17","Sangrur","0","14308","0","13573","0","735","0"
"18","SBS Nagar","19","13421","23","13011","0","409","1"
"19","FG Sahib","8","11842","7","11487","0","354","1"
"20","Moga","3","10991","4","10735","1","255","1"
"21","Tarn Taran","2","10901","2","10507","0","394","0"
"22","Barnala","7","7504","12","7155","0","349","0"
"23","Malerkotla","0","3967","0","3791","0","176","0"
"","Total","996","760073","912","742162","4","17751","160"
