"Sr.No. Description","","From 1st April 2022","Till Date"
"1","Total Samples taken","437122",19425984
"2","Total No. of patients tested Positive","996","760073"
"3","No. of patients discharged","912","742162"
"4","Total Deaths reported","4","17751"
"5","Sample collected on the day","","10159"
"6","Test conducted on the day","","10085"
"7","Positive cases on the day","","23"
"8","Number of active Cases","","160"
"9","No. of Patients on oxygen support","","1"
"10","Patients at critical care Level-3 facilities","","0"
"11","Patients who are critical and on ventilator support","","0"
"12","Healthcare Workers vaccinated with 1st dose on the day","","1"
"13","Total Healthcare Workers vaccinated with 1st dose","","218583"
"14","Frontline Workers vaccinated with 1st dose on the day","","1"
"15","Total Frontline Workers vaccinated with 1st dose","","1117152"
"16","Healthcare Workers vaccinated with 2nd dose on the day","","7"
"17","Total Healthcare Workers vaccinated with 2nd dose","","209803"
"18","Frontline Workers vaccinated with 2nd dose on the day","","18"
"19","Total Frontline Workers vaccinated with 2nd dose","","1011098"
"20","Above 45 Vaccinated with 1st dose on the day","","79"
"21","Total Above 45 Vaccinated with 1st dose","","8300458"
"22","Above 45 Vaccinated with 2nd dose on the day","","1940"
"23","Total Above 45 Vaccinated with 2nd dose","","7120692"
"24","18-44 years age group Vaccinated with 1st dose on the day","","347"
"25","Total 18-44 years age group Vaccinated with 1st dose","","12513836"
"26","18-44 years age group Vaccinated with 2nd dose on the day","","3805"
"27","Total 18-44 years age group Vaccinated with 2nd dose","","9582244"
"28","15-17 years age group Vaccinated with 1st dose on the day","","226"
"29","Total 15-17 years age group Vaccinated with 1st dose","","1057166"
"30","15-17 years age group Vaccinated with 2nd dose on the day","","631"
"31","Total 15-17 years age group Vaccinated with 2nddose","","659728"
"32","12-14 years age group Vaccinated with 1st dose on the day","","517"
"33","Total 12-14 years age group Vaccinated with 1st dose","","527834"
"34","12-14 years age group Vaccinated with 2nddose on the day","","339"
"35","Total 12-14 years age group Vaccinated with 2nd dose","","203103"
"36","Precautionary dose given on the day","","754"
"37","Total Precautionary dose given","","589256"
"38","Total Vaccination 1st dose on the day","","428"
"39","Total Vaccination 2nd dose on the day","","5770"
"40","Total Vaccination 1st and 2nd dose on the day","","6198"
