"Sr.No. Description","","From 1st April 2022","Till Date"
"1","Total Samples taken","1404860","20395323"
"2","Total No. of patients tested Positive","19627","780154"
"3","No. of patients discharged","17621","757896"
"4","Total Deaths reported","132","20437"
"5","Sample collected on the day","","11054"
"6","Test conducted on the day","","10886"
"7","Positive cases on the day","","354"
"8","Number of active Cases","","1821"
"9","No. of Patients on oxygen support","","92"
"10","Patients at critical care Level-3 facilities","","28"
"11","Patients who are critical and on ventilator support","","2"
"12","Healthcare Workers vaccinated with 1st dose on the day","","5"
"13","Total Healthcare Workers vaccinated with 1st dose","","218841"
"14","Frontline Workers vaccinated with 1st dose on the day","","8"
"15","Total Frontline Workers vaccinated with 1st dose","","1117812"
"16","Healthcare Workers vaccinated with 2nd dose on the day","","12"
"17","Total Healthcare Workers vaccinated with 2nd dose","","211689"
"18","Frontline Workers vaccinated with 2nd dose on the day","","65"
"19","Total Frontline Workers vaccinated with 2nd dose","","1018234"
"20","Above 45 Vaccinated with 1st dose on the day","","195"
"21","Total Above 45 Vaccinated with 1st dose","","8340634"
"22","Above 45 Vaccinated with 2nd dose on the day","","1846"
"23","Total Above 45 Vaccinated with 2nd dose","","7620314"
"24","18-44 years age group Vaccinated with 1st dose on the day","","765"
"25","Total 18-44 years age group Vaccinated with 1st dose","","12641447"
"26","18-44 years age group Vaccinated with 2nd dose on the day","","4450"
"27","Total 18-44 years age group Vaccinated with 2nd dose","","10612573"
"28","15-17 years age group Vaccinated with 1st dose on the day","","192"
"29","Total 15-17 years age group Vaccinated with 1st dose","","1106428"
"30","15-17 years age group Vaccinated with 2nd dose on the day","","810"
"31","Total 15-17 years age group Vaccinated with 2nddose","","839421"
"32","12-14 years age group Vaccinated with 1st dose on the day","","425"
"33","Total 12-14 years age group Vaccinated with 1st dose","","654864"
"34","12-14 years age group Vaccinated with 2nddose on the day","","1070"
"35","Total 12-14 years age group Vaccinated with 2nd dose","","444105"
"36","Precautionary dose given on the day","","21523"
"37","Total Precautionary dose given","","1369003"
"38","Total Vaccination 1st dose on the day","","973"
"39","Total Vaccination 2nd dose on the day","","6373"
"40","Total Vaccination 1st and 2nd dose on the day","","7346"
