"S.No","Particulars","Leh","","Kargil","","UT Ladakh",""
"1","Total Confirmed Positive cases","23013","","5283","","28296",""
"2","Total Active Cases","20 
(0.09%)","","02 
(0.04%)","","22 
(0.08%)",""
"3","Total Cured/Discharged","22825 
(99.2%)","","5221 
(98.8%)","","28046 
(99.1%)",""
"4","Total Died","168 
(0.73%)","","60 
(1.1%)","","228 
(0.81%)",""
"5","Total Positive cases admitted in COVID 
Hospital","03","","02","","05",""
"6","Total Positive cases in Home Isolation","16","","00","","16",""
"7","COVID Care Centre","00","","00","","00",""
"8","Facility Isolation","01","","00","","01",""
"9","No. of Samples Tested (Today)","174","","27","","201",""
"10","No. of Samples Positive (Today)","05","","00","","05",""
"11","No. of Samples Negative (Today)","169","","27","","196",""
"12","Repeat Positive/ Resampling (Today)","00","","00","","00",""
"13","Today’s Samples collected at different entry points in 
Ladakh (representing new arrivals to UT 
Ladakh)","a.)Total Sample collected at KBR Airport 
b.)Total Samples collected at Minamarg (Drass) 
c.)Total Sample collected at Upshi 
d.)Total sample collected at Khaltsi 
              Grand Total","","","","","58 
21 
05 
00 
84"
"14","COVID-19TotalTestsdonebyUTofLadakh(Cumulative)","Type of Test","Test Done Till 
(13/06/2022)","","Test Done Today 
(14/06/2022)","","Cumulative"
"","","a)RTPCR","324233","","151","","324384"
"","","b)TRUENAT","14182","","10","","14192"
"","","c)RAT","349794","","40","","349834"
"","","d)  CBNAAT","1105","","00","","1105"
"","","TOTAL","689314","","201","","689515"
