,Unnamed: 0,Unnamed: 0.1,Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,deltaVaccinated3ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,7DmaVaccinated3ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,deltaVaccinated3ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,7DmaVaccinated3ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,cumulativeVaccinated3NumberForDistrict,cumulativeOtherNumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinated3NumberForState,cumulativeOtherNumberForState,7DmaOtherForState,7DmaOtherForDistrict
0,0,0,2021-11-11,KA,286.0,7.0,289.0,111190,43455,118531,0,0,1867.0,43.0,2074.0,663721.0,444461.0,1417286.0,0.0,Bagalkote,0,0,0,,3315,4163,0,0,2.0,0.0,0.0,,36916.0,42680.0,0,1890826,,,0.0 cases were recorded as Deaths due to Non Covid Reasons,35180.0,333.0,34842.0,,1227671,658663,0,0.0,2022-01-22T01:24:17.430248+05:30,65798000,,,29.0 cases were recorded as Deaths due to Non Covid Reasons,2991142.0,38138.0,2944958.0,51801367.0,43089694,24629630,0,29.0,29.0,0.0
1,1,1,2021-11-11,KA,286.0,7.0,289.0,111190,43455,118531,0,0,1867.0,43.0,2074.0,663721.0,444461.0,1417286.0,0.0,Ballari,0,0,2,,1224,4454,0,0,12.0,0.0,10.0,,19297.0,50270.0,0,2532383,,,0.0 cases were recorded as Deaths due to Non Covid Reasons,97779.0,1686.0,95980.0,,1790769,928203,0,0.0,2022-01-22T01:24:17.430248+05:30,65798000,,,29.0 cases were recorded as Deaths due to Non Covid Reasons,2991142.0,38138.0,2944958.0,51801367.0,43089694,24629630,0,29.0,29.0,0.0
2,2,2,2021-11-11,KA,286.0,7.0,289.0,111190,43455,118531,0,0,1867.0,43.0,2074.0,663721.0,444461.0,1417286.0,0.0,Belagavi,2,0,3,,7499,14746,0,0,15.0,3.0,23.0,,44844.0,106583.0,0,4778439,,,0.0 cases were recorded as Deaths due to Non Covid Reasons,79931.0,941.0,78926.0,,3222078,1516600,0,0.0,2022-01-22T01:24:17.430248+05:30,65798000,,,29.0 cases were recorded as Deaths due to Non Covid Reasons,2991142.0,38138.0,2944958.0,51801367.0,43089694,24629630,0,29.0,29.0,0.0
3,3,3,2021-11-11,KA,286.0,7.0,289.0,111190,43455,118531,0,0,1867.0,43.0,2074.0,663721.0,444461.0,1417286.0,0.0,Bengaluru Rural,10,0,3,,408,1623,0,0,35.0,1.0,21.0,,5257.0,27898.0,0,987257,,,0.0 cases were recorded as Deaths due to Non Covid Reasons,62048.0,890.0,61106.0,,707353,422173,0,0.0,2022-01-22T01:24:17.430248+05:30,65798000,,,29.0 cases were recorded as Deaths due to Non Covid Reasons,2991142.0,38138.0,2944958.0,51801367.0,43089694,24629630,0,29.0,29.0,0.0
4,4,4,2021-11-11,KA,286.0,7.0,289.0,111190,43455,118531,0,0,1867.0,43.0,2074.0,663721.0,444461.0,1417286.0,0.0,Bengaluru Urban,169,3,171,,2669,15500,0,0,1108.0,14.0,913.0,,30938.0,184953.0,0,9588910,,,1.0 cases were recorded as Deaths due to Non Covid Reasons,1253522.0,16306.0,1230653.0,,9264095,6161999,0,1.0,2022-01-22T01:24:17.430248+05:30,65798000,,,29.0 cases were recorded as Deaths due to Non Covid Reasons,2991142.0,38138.0,2944958.0,51801367.0,43089694,24629630,0,29.0,29.0,1.0
5,5,5,2021-11-11,KA,286.0,7.0,289.0,111190,43455,118531,0,0,1867.0,43.0,2074.0,663721.0,444461.0,1417286.0,0.0,Bidar,0,0,0,,913,2842,0,0,1.0,1.0,0.0,,12672.0,39854.0,0,1700018,,,4.0 cases were recorded as Deaths due to Non Covid Reasons,24342.0,401.0,23936.0,,946217,562721,0,4.0,2022-01-22T01:24:17.430248+05:30,65798000,,,29.0 cases were recorded as Deaths due to Non Covid Reasons,2991142.0,38138.0,2944958.0,51801367.0,43089694,24629630,0,29.0,29.0,4.0
6,6,6,2021-11-11,KA,286.0,7.0,289.0,111190,43455,118531,0,0,1867.0,43.0,2074.0,663721.0,444461.0,1417286.0,0.0,Chamarajanagara,2,0,1,,177,2592,0,0,10.0,0.0,7.0,,1381.0,19995.0,0,1020962,,,11.0 cases were recorded as Deaths due to Non Covid Reasons,33012.0,502.0,32484.0,,649740,378434,0,11.0,2022-01-22T01:24:17.430248+05:30,65798000,,,29.0 cases were recorded as Deaths due to Non Covid Reasons,2991142.0,38138.0,2944958.0,51801367.0,43089694,24629630,0,29.0,29.0,11.0
7,7,7,2021-11-11,KA,286.0,7.0,289.0,111190,43455,118531,0,0,1867.0,43.0,2074.0,663721.0,444461.0,1417286.0,0.0,Chikkaballapura,0,0,0,,182,624,0,0,8.0,0.0,6.0,,4708.0,27797.0,0,1254377,,,1.0 cases were recorded as Deaths due to Non Covid Reasons,43961.0,431.0,43516.0,,857735,527719,0,1.0,2022-01-22T01:24:17.430248+05:30,65798000,,,29.0 cases were recorded as Deaths due to Non Covid Reasons,2991142.0,38138.0,2944958.0,51801367.0,43089694,24629630,0,29.0,29.0,1.0
8,8,8,2021-11-11,KA,286.0,7.0,289.0,111190,43455,118531,0,0,1867.0,43.0,2074.0,663721.0,444461.0,1417286.0,0.0,Chikkamagaluru,3,0,1,,240,1888,0,0,28.0,0.0,37.0,,3474.0,20342.0,0,1137753,,,0.0 cases were recorded as Deaths due to Non Covid Reasons,51162.0,396.0,50714.0,,741685,370569,0,0.0,2022-01-22T01:24:17.430248+05:30,65798000,,,29.0 cases were recorded as Deaths due to Non Covid Reasons,2991142.0,38138.0,2944958.0,51801367.0,43089694,24629630,0,29.0,29.0,0.0
9,9,9,2021-11-11,KA,286.0,7.0,289.0,111190,43455,118531,0,0,1867.0,43.0,2074.0,663721.0,444461.0,1417286.0,0.0,Chitradurga,2,0,1,,6955,3315,0,0,16.0,0.0,16.0,,34429.0,37657.0,0,1660378,,,0.0 cases were recorded as Deaths due to Non Covid Reasons,36689.0,206.0,36442.0,,1063671,665783,0,0.0,2022-01-22T01:24:17.430248+05:30,65798000,,,29.0 cases were recorded as Deaths due to Non Covid Reasons,2991142.0,38138.0,2944958.0,51801367.0,43089694,24629630,0,29.0,29.0,0.0
