"S.
No.","District","Total Confirmed Cases","","Total Cured","","Total Deaths","","Total Active
Cases"
"","","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date",""
"1","Ludhiana","147","109924","140","107629","1","2280","15"
"2","SAS Nagar","283","95974","244","94777","0","1148","49"
"3","Jalandhar","99","78370","86","76786","0","1578","6"
"4","Patiala","205","62237","199","60771","0","1458","8"
"5","Amritsar","63","59458","56","57764","0","1682","12"
"6","Bathinda","37","50907","34","49812","0","1088","7"
"7","Hoshiarpur","51","40890","58","39790","0","1096","4"
"8","Gurdaspur","17","26956","15","26088","1","865","3"
"9","Pathankot","37","24571","38","24071","0","495","5"
"10","Fazilka","18","23416","31","22870","0","545","1"
"11","Muktsar","6","22560","11","22021","0","539","0"
"12","Kapurthala","31","22066","29","21481","1","583","2"
"13","Ropar","25","17963","20","17503","0","455","5"
"14","Ferozepur","14","17913","12","17372","0","537","4"
"15","Mansa","4","17232","3","16839","0","392","1"
"16","Faridkot","23","16806","27","16468","0","338","0"
"17","Sangrur","0","14308","0","13573","0","735","0"
"18","SBS Nagar","19","13421","24","13012","0","409","0"
"19","FG Sahib","8","11842","8","11488","0","354","0"
"20","Moga","5","10993","4","10735","1","255","3"
"21","Tarn Taran","4","10902","2","10507","0","394","1"
"22","Barnala","7","7504","12","7155","0","349","0"
"23","Malerkotla","0","3967","0","3791","0","176","0"
"","Total","1103","760180","1053","742303","4","17751","126"
