"Sr.No. Description","","From 1st April 2022","Till Date"
"1","Total Samples taken","499019","19487883"
"2","Total No. of patients tested Positive","1103","760180"
"3","No. of patients discharged","1053","742303"
"4","Total Deaths reported","4","17751"
"5","Sample collected on the day","","11321"
"6","Test conducted on the day","","11300"
"7","Positive cases on the day","","13"
"8","Number of active Cases","","126"
"9","No. of Patients on oxygen support","","4"
"10","Patients at critical care Level-3 facilities","","0"
"11","Patients who are critical and on ventilator support","","0"
"12","Healthcare Workers vaccinated with 1st dose on the day","","6"
"13","Total Healthcare Workers vaccinated with 1st dose","","218603"
"14","Frontline Workers vaccinated with 1st dose on the day","","4"
"15","Total Frontline Workers vaccinated with 1st dose","","1117194"
"16","Healthcare Workers vaccinated with 2nd dose on the day","","28"
"17","Total Healthcare Workers vaccinated with 2nd dose","","209925"
"18","Frontline Workers vaccinated with 2nd dose on the day","","131"
"19","Total Frontline Workers vaccinated with 2nd dose","","1011712"
"20","Above 45 Vaccinated with 1st dose on the day","","1730"
"21","Total Above 45 Vaccinated with 1st dose","","8308405"
"22","Above 45 Vaccinated with 2nd dose on the day","","12659"
"23","Total Above 45 Vaccinated with 2nd dose","","7192774"
"24","18-44 years age group Vaccinated with 1st dose on the day","","5403"
"25","Total 18-44 years age group Vaccinated with 1st dose","","12536113"
"26","18-44 years age group Vaccinated with 2nd dose on the day","","25373"
"27","Total 18-44 years age group Vaccinated with 2nd dose","","9725006"
"28","15-17 years age group Vaccinated with 1st dose on the day","","1399"
"29","Total 15-17 years age group Vaccinated with 1st dose","","1065002"
"30","15-17 years age group Vaccinated with 2nd dose on the day","","4045"
"31","Total 15-17 years age group Vaccinated with 2nddose","","683187"
"32","12-14 years age group Vaccinated with 1st dose on the day","","3952"
"33","Total 12-14 years age group Vaccinated with 1st dose","","548801"
"34","12-14 years age group Vaccinated with 2nddose on the day","","5334"
"35","Total 12-14 years age group Vaccinated with 2nd dose","","229856"
"36","Precautionary dose given on the day","","4296"
"37","Total Precautionary dose given","","610798"
"38","Total Vaccination 1st dose on the day","","7143"
"39","Total Vaccination 2nd dose on the day","","38191"
"40","Total Vaccination 1st and 2nd dose on the day","","45334"
