"Sr. No.","District/Municipal 
Corporation","COVID-19 cases","Recovered 
patients","Deaths","Deaths due 
to other 
causes","Active cases"
"14","Jalgaon","139934","137178","2714","32","10"
"15","Nandurbar","40006","39054","948","3","1"
"16","Dhule","46173","45507","654","11","1"
"17","Aurangabad","155339","150615","4251","14","459"
"18","Jalna","60616","59387","1209","1","19"
"19","Beed","103752","100883","2808","7","54"
"20","Latur","92135","89608","2437","6","84"
"21","Parbhani","52363","51078","1233","19","33"
"22","Hingoli","18475","17949","506","1","19"
"23","Nanded","90409","87723","2658","7","21"
"24","Osmanabad","67841","65580","1963","114","184"
"25","Amravati","96231","94618","1594","2","17"
"26","Akola","58764","57318","1425","4","17"
"27","Washim","41663","41021","637","3","2"
"28","Buldhana","85521","84711","797","6","7"
"29","Yavatmal","75967","74160","1798","4","5"
"30","Nagpur","493612","484347","9128","71","66"
"31","Wardha","57344","55956","1217","165","6"
"32","Bhandara","60080","58945","1123","10","2"
"33","Gondia","40519","39941","569","7","2"
"34","Chandrapur","88968","87387","1560","4","17"
"35","Gadchiroli","30440","29735","669","33","3"
"","Other 
states/country","144","31","111","2","0"
"","Total","6611887","6452486","140226","3623","15552"
