"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","448"
"2","Number of persons tested positive today in Tamil Nadu","72"
"","Passengers returned from other countries  by 
International airport tested positive today","Singapore-3 
USA-2"
"","Total","77$"
"3","Total Number of persons tested positive till date","34,55,287"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","14,421/ 
6,66,01,131@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","14,407/ 
6,54,23,853"
"6","No. of Male / Female / Transgender tested positive today","36/41/0"
"7","No. of Male / Female / Transgender tested positive till date","20,16,481/14,38,768/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","337 (69 Govt+ 
268 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","41/ 
34,16,814"
"10","Total number of deaths today/ till date","0(0 Private &  
0 Govt) /38,025"
