"Total No. of Sample Taken Today","14740"
"Total No. of Positive Cases Detected Today","236"
"Total Active COVID-19 Patients","1073"
"Total No. of Active Cases under Home Isolation (27-05-2022)","1052"
"Total No. of Samples found Positive till date","1002025"
"Total Positive COVID-19 Patients Recovered / Discharged till date","990308"
"No. of Deaths","10621"
"Total No. of People Vaccinated Today","31678 
(1st Dose: 6229 
2nd Dose: 14837 
Precaution Dose: 10612"
"Cumulative Coverage of COVID-19 Vaccination - 1st Dose  
(Achieved 100% for 18yrs above population)","23524491 (100%)"
"Cumulative Coverage of COVID-19 Vaccination - 2nd Dose 
(Achieved 86% for 15yrs above population)","19219711 (86%)"
"Cumulative Coverage of COVID-19 Vaccination - Precaution Dose","660366"
"Cumulative Coverage of Total COVID-19 Vaccination","43404568"
"COVID-19 Today (27-05-2022) Positivity Rate","1.52%"
"Recovery Rate","98.83%"
"Fatality Rate","1.06%"
